"Index","RiskFree.Close"
2003-06-30,134.3229
2003-07-31,135.698
2003-08-31,136.94
2003-09-30,138.2381
2003-10-31,139.43
2003-11-30,140.4187
2003-12-31,141.5114
2004-01-31,142.4606
2004-02-29,143.3284
2004-03-31,144.3401
2004-04-30,145.2572
2004-05-31,146.2064
2004-06-30,147.1343
2004-07-31,148.0727
2004-08-31,149.0791
2004-09-30,150.0058
2004-10-31,150.8931
2004-11-30,151.8649
2004-12-31,152.8081
2005-01-31,153.7503
2005-02-28,154.6
2005-03-31,155.5454
2005-04-30,156.43
2005-05-31,157.3833
2005-06-30,158.2685
2005-07-31,159.117
2005-08-31,160.0886
2005-09-30,160.9701
2005-10-31,161.8841
2005-11-30,162.7807
2005-12-31,163.6869
2006-01-31,164.6614
2006-02-28,165.5202
2006-03-31,166.476
2006-04-30,167.3437
2006-05-31,168.3751
2006-06-30,169.3231
2006-07-31,170.3291
2006-08-31,171.3681
2006-09-30,172.3769
2006-10-31,173.531
2006-11-30,174.6581
2006-12-31,175.7834
2007-01-31,177.0825
2007-02-28,178.215
2007-03-31,179.4492
2007-04-30,180.7587
2007-05-31,182.0847
2007-06-30,183.3489
2007-07-31,184.7923
2007-08-31,186.2268
2007-09-30,187.56
2007-10-31,189.1711
2007-11-30,190.6848
2007-12-31,192.3006
2008-01-31,193.98
2008-02-29,195.5808
2008-03-31,197.3272
2008-04-30,199.0538
2008-05-31,200.8305
2008-06-30,202.7247
2008-07-31,204.6803
2008-08-31,206.5495
2008-09-30,208.6416
2008-10-31,210.6959
2008-11-30,212.574
2008-12-31,214.7902
2009-01-31,216.7801
2009-02-28,218.6
2009-03-31,220.5976
2009-04-30,222.3786
2009-05-31,224.006
2009-06-30,225.6843
2009-07-31,227.2285
2009-08-31,228.7301
2009-09-30,230.1487
2009-10-31,231.5433
2009-11-30,232.9687
2009-12-31,234.3978
2010-01-31,235.7405
2010-02-28,237.0374
2010-03-31,238.5726
2010-04-30,239.9547
2010-05-31,241.361
2010-06-30,242.7089
2010-07-31,244.0478
2010-08-31,245.4669
2010-09-30,246.781
2010-10-31,248.024
2010-11-30,249.3703
2010-12-31,250.6353
2011-01-31,251.8723
2011-02-28,252.9735
2011-03-31,254.1845
2011-04-30,255.3145
2011-05-31,256.5621
2011-06-30,257.7353
2011-07-31,258.8732
2011-08-31,260.1723
2011-09-30,261.3548
2011-10-31,262.5788
2011-11-30,263.7658
2011-12-31,264.9581
2012-01-31,266.2382
2012-02-29,267.403
2012-03-31,268.6154
2012-04-30,269.8765
2012-05-31,271.1448
2012-06-30,272.3362
2012-07-31,273.6514
2012-08-31,274.9015
2012-09-30,276.0126
2012-10-31,277.3032
2012-11-30,278.4693
2012-12-31,279.6721
2013-01-31,280.8735
2013-02-28,281.9604
2013-03-31,283.0895
2013-04-30,284.3409
2013-05-31,285.5571
2013-06-30,286.6601
2013-07-31,287.9687
2013-08-31,289.1675
2013-09-30,290.4167
2013-10-31,291.6746
2013-11-30,292.8615
2013-12-31,294.1851
2014-01-31,295.4815
2014-02-28,296.6831
2014-03-31,298.0579
2014-04-30,299.4251
2014-05-31,300.824
2014-06-30,302.2955
2014-07-31,303.7931
2014-08-31,305.2213
2014-09-30,306.8242
2014-10-31,308.4039
2014-11-30,309.849
2014-12-31,311.5704
2015-01-31,313.153
2015-02-28,314.6418
2015-03-31,316.3538
2015-04-30,317.9695
2015-05-31,319.5427
2015-06-30,321.2933
2015-07-31,323.0009
2015-08-31,324.7302
2015-09-30,326.4229
2015-10-31,328.13
2015-11-30,329.9078
2015-12-31,331.7157
2016-01-31,333.4402
2016-02-29,335.3335
2016-03-31,337.2834
2016-04-30,339.1592
2016-05-31,341.2805
2016-06-30,343.3065
2016-07-31,345.2918
2016-08-31,347.5782
2016-09-30,349.6803
2016-10-31,351.8723
2016-11-30,354.0121
2016-12-31,356.1674
