"Index","Commodities.Close"
1999-12-31,17048.82605
2000-01-03,16931.80846
2000-01-04,16672.20138
2000-01-05,16483.51816
2000-01-06,16486.00462
2000-01-07,16278.40794
2000-01-10,16485.36279
2000-01-11,16846.10069
2000-01-12,17022.78747
2000-01-13,17144.85436
2000-01-14,17614.89046
2000-01-18,18007.3536
2000-01-19,18171.58276
2000-01-20,18269.23319
2000-01-21,18378.62496
2000-01-24,18326.6222
2000-01-25,18506.45354
2000-01-26,18329.39747
2000-01-27,18352.05133
2000-01-28,18678.94784
2000-01-31,18753.83575
2000-02-01,18916.46174
2000-02-02,18741.25578
2000-02-03,18782.14605
2000-02-04,19227.37867
2000-02-07,18972.37196
2000-02-08,18694.6304
2000-02-09,19118.9672
2000-02-10,19413.07746
2000-02-11,19473.64081
2000-02-14,19680.06755
2000-02-15,19657.91616
2000-02-16,19651.19385
2000-02-17,19391.19583
2000-02-18,19348.46132
2000-02-22,19369.88393
2000-02-23,19522.95339
2000-02-24,19737.13387
2000-02-25,19710.97884
2000-02-28,19932.93698
2000-02-29,19994.91703
2000-03-01,20637.71288
2000-03-02,20679.8566
2000-03-03,21005.97754
2000-03-06,21363.80894
2000-03-07,22103.49799
2000-03-08,20861.78103
2000-03-09,20820.50356
2000-03-10,20684.00794
2000-03-13,20991.01209
2000-03-14,20889.6573
2000-03-15,20732.82165
2000-03-16,20772.25162
2000-03-17,20786.98959
2000-03-20,20209.80594
2000-03-21,20334.34809
2000-03-22,20155.26145
2000-03-23,20183.51852
2000-03-24,20433.31802
2000-03-27,20371.38341
2000-03-28,20277.08115
2000-03-29,20013.667
2000-03-30,20325.19348
2000-03-31,20388.8723
2000-04-03,20283.19973
2000-04-04,19747.68054
2000-04-05,19918.0502
2000-04-06,19855.85257
2000-04-07,19629.95316
2000-04-10,19124.97407
2000-04-11,19280.91606
2000-04-12,19858.13706
2000-04-13,19863.80653
2000-04-14,19707.97183
2000-04-17,20004.1311
2000-04-18,20048.2099
2000-04-19,20598.68004
2000-04-20,20728.62059
2000-04-24,21001.56805
2000-04-25,20740.39748
2000-04-26,20723.70254
2000-04-27,21069.69329
2000-04-28,20954.21465
2000-05-01,21195.61866
2000-05-02,21667.63069
2000-05-03,21705.79482
2000-05-04,22157.48716
2000-05-05,22171.17242
2000-05-08,22570.85212
2000-05-09,23305.30719
2000-05-10,23278.89937
2000-05-11,23434.63428
2000-05-12,23814.94906
2000-05-15,23941.19529
2000-05-16,24125.70821
2000-05-17,24314.03252
2000-05-18,24709.36237
2000-05-19,24779.79883
2000-05-22,24195.52137
2000-05-23,24072.80372
2000-05-24,24794.61735
2000-05-25,25133.76174
2000-05-26,24969.69207
2000-05-30,24538.76077
2000-05-31,23961.47065
2000-06-01,24343.7018
2000-06-02,24267.94381
2000-06-05,24047.931
2000-06-06,24164.053
2000-06-07,24109.70353
2000-06-08,24434.83638
2000-06-09,24466.00079
2000-06-12,25029.65273
2000-06-13,25246.04791
2000-06-14,24911.14119
2000-06-15,24855.15919
2000-06-16,24210.4999
2000-06-19,23971.184
2000-06-20,24537.29045
2000-06-21,25013.80879
2000-06-22,25477.74834
2000-06-23,25264.03057
2000-06-26,25078.5413
2000-06-27,25110.00757
2000-06-28,24915.94297
2000-06-29,25345.25932
2000-06-30,24960.36637
2000-07-03,25083.80156
2000-07-05,24047.51889
2000-07-06,23969.55724
2000-07-07,24160.54213
2000-07-10,23917.58283
2000-07-11,23912.18066
2000-07-12,24085.79525
2000-07-13,24598.03875
2000-07-14,24666.07027
2000-07-17,24506.081
2000-07-18,25015.70744
2000-07-19,24966.92632
2000-07-20,24567.20557
2000-07-21,24044.28733
2000-07-24,23755.00856
2000-07-25,23705.89706
2000-07-26,23657.54033
2000-07-27,23826.17789
2000-07-28,24000.06523
2000-07-31,23654.28151
2000-08-01,23909.44093
2000-08-02,24345.10905
2000-08-03,24526.65608
2000-08-04,24887.70151
2000-08-07,24424.07323
2000-08-08,24671.02099
2000-08-09,25196.21978
2000-08-10,25486.99593
2000-08-11,25257.85799
2000-08-14,25429.3947
2000-08-15,25443.00979
2000-08-16,25591.69854
2000-08-17,25709.17462
2000-08-18,25955.29034
2000-08-21,26347.22459
2000-08-22,26064.06217
2000-08-23,26430.81754
2000-08-24,26230.38103
2000-08-25,26343.31982
2000-08-28,26842.80421
2000-08-29,26998.69459
2000-08-30,27324.88755
2000-08-31,27365.78695
2000-09-01,27324.82599
2000-09-05,28051.96381
2000-09-06,28748.20677
2000-09-07,29090.89435
2000-09-08,28273.08071
2000-09-11,29136.70213
2000-09-12,28879.20147
2000-09-13,28454.3627
2000-09-14,28690.58556
2000-09-15,29469.30504
2000-09-18,30338.73391
2000-09-19,30019.78114
2000-09-20,30245.39735
2000-09-21,29679.36281
2000-09-22,28708.34629
2000-09-25,28413.80224
2000-09-26,28281.36409
2000-09-27,28508.89888
2000-09-28,27815.21524
2000-09-29,27924.76625
2000-10-02,28594.38313
2000-10-03,28676.30017
2000-10-04,28436.80255
2000-10-05,28098.03797
2000-10-06,28189.41694
2000-10-09,28891.91331
2000-10-10,29726.90047
2000-10-11,30224.59228
2000-10-12,31868.16166
2000-10-13,31000.47368
2000-10-16,30383.36845
2000-10-17,30295.49681
2000-10-18,30781.10892
2000-10-19,30103.96405
2000-10-20,30180.36545
2000-10-23,30554.6294
2000-10-24,30408.61865
2000-10-25,30241.12818
2000-10-26,30465.05168
2000-10-27,29574.53267
2000-10-30,29336.97238
2000-10-31,29277.84381
2000-11-01,29374.41394
2000-11-02,29314.79522
2000-11-03,29569.32902
2000-11-06,29691.24775
2000-11-07,30417.45892
2000-11-08,30778.89254
2000-11-09,31507.21381
2000-11-10,30905.76349
2000-11-13,31453.3635
2000-11-14,31857.08829
2000-11-15,32681.7014
2000-11-16,32208.29336
2000-11-17,32757.90426
2000-11-20,33367.28066
2000-11-21,33668.85849
2000-11-22,33890.9135
2000-11-24,33950.8133
2000-11-27,33519.71597
2000-11-28,32770.22591
2000-11-29,32902.50503
2000-11-30,32799.23187
2000-12-01,31654.43644
2000-12-04,31906.09069
2000-12-05,31121.73104
2000-12-06,31765.36213
2000-12-07,31661.08843
2000-12-08,31392.95164
2000-12-11,32511.93056
2000-12-12,31951.15863
2000-12-13,31150.1939
2000-12-14,30357.78229
2000-12-15,31148.32012
2000-12-18,31567.99062
2000-12-19,31677.51872
2000-12-20,30291.58731
2000-12-21,30683.88784
2000-12-22,30298.80277
2000-12-26,30547.39405
2000-12-27,30722.32204
2000-12-28,30606.39296
2000-12-29,31420.34916
2001-01-02,30429.68982
2001-01-03,30309.51959
2001-01-04,31098.46007
2001-01-05,31220.19101
2001-01-08,31408.72932
2001-01-09,32172.76563
2001-01-10,33321.35932
2001-01-11,32743.04031
2001-01-12,32695.39157
2001-01-16,32304.93927
2001-01-17,31218.08926
2001-01-18,31931.47604
2001-01-19,32926.16043
2001-01-22,32765.71187
2001-01-23,32159.26745
2001-01-24,32009.21411
2001-01-25,32252.15512
2001-01-26,32473.50171
2001-01-29,31511.66985
2001-01-30,31098.6062
2001-01-31,30537.09311
2001-02-01,31484.09769
2001-02-02,32682.13496
2001-02-05,31595.59516
2001-02-06,31681.92519
2001-02-07,32926.51895
2001-02-08,33495.1065
2001-02-09,32651.04442
2001-02-12,31944.06572
2001-02-13,32450.23867
2001-02-14,31754.34635
2001-02-15,31191.26007
2001-02-16,31223.31517
2001-02-20,30675.42207
2001-02-21,30613.01546
2001-02-22,30775.68954
2001-02-23,30875.50231
2001-02-26,30395.26346
2001-02-27,30147.76644
2001-02-28,29705.34261
2001-03-01,30007.4137
2001-03-02,30275.44116
2001-03-05,30885.76242
2001-03-06,31226.07136
2001-03-07,31785.85247
2001-03-08,30583.19797
2001-03-09,30230.23896
2001-03-12,30431.58345
2001-03-13,30179.3949
2001-03-14,29679.52149
2001-03-15,29516.90327
2001-03-16,29930.22847
2001-03-19,29885.0944
2001-03-20,29905.42836
2001-03-21,30231.85334
2001-03-22,30126.62142
2001-03-23,30467.59842
2001-03-26,30576.62281
2001-03-27,31268.8046
2001-03-28,30383.64503
2001-03-29,30131.12488
2001-03-30,29880.70629
2001-04-02,29906.3704
2001-04-03,30478.87029
2001-04-04,30918.68575
2001-04-05,31268.92912
2001-04-06,30980.37474
2001-04-09,31284.82791
2001-04-10,31965.99605
2001-04-11,31719.63929
2001-04-12,31812.20327
2001-04-16,32319.78486
2001-04-17,32415.97303
2001-04-18,32097.31737
2001-04-19,31996.75883
2001-04-20,31814.25271
2001-04-23,31671.25946
2001-04-24,31144.90817
2001-04-25,31251.02217
2001-04-26,31599.05377
2001-04-27,31251.59332
2001-04-30,31504.95448
2001-05-01,31669.86948
2001-05-02,31056.43473
2001-05-03,31786.74141
2001-05-04,31467.87843
2001-05-07,30857.86184
2001-05-08,30697.30006
2001-05-09,30757.72313
2001-05-10,30948.11636
2001-05-11,30935.81219
2001-05-14,30999.87475
2001-05-15,31394.80545
2001-05-16,31097.4583
2001-05-17,31026.42581
2001-05-18,31550.63952
2001-05-21,31273.6856
2001-05-22,31157.83355
2001-05-23,31152.33489
2001-05-24,30609.53625
2001-05-25,30204.2013
2001-05-29,30295.91594
2001-05-30,30538.41982
2001-05-31,30538.98234
2001-06-01,30529.38758
2001-06-04,30639.45367
2001-06-05,30586.94188
2001-06-06,30366.2537
2001-06-07,30321.92489
2001-06-08,30693.09727
2001-06-11,31285.64589
2001-06-12,31546.15996
2001-06-13,31178.26468
2001-06-14,30991.23284
2001-06-15,30459.49361
2001-06-18,30138.11854
2001-06-19,30227.87587
2001-06-20,29397.94508
2001-06-21,29232.03978
2001-06-22,29213.01255
2001-06-25,29181.9371
