"Index","DomesticEquity.Close"
2002-06-03,1024.21
2002-06-04,1022.63
2002-06-05,1013.77
2002-06-06,1000.79
2002-06-07,994.05
2002-06-10,991.02
2002-06-11,987.19
2002-06-12,999.76
2002-06-13,983.05
2002-06-14,980.96
2002-06-18,978.64
2002-06-19,975.22
2002-06-20,977.13
2002-06-21,972.31
2002-06-24,971.08
2002-06-25,959.12
2002-06-26,940.8
2002-06-27,948.41
2002-06-28,958.17
2002-07-01,956.15
2002-07-02,953.78
2002-07-03,929.93
2002-07-04,936.97
2002-07-05,948.96
2002-07-08,956.62
2002-07-09,946.93
2002-07-10,928.96
2002-07-11,920.75
2002-07-12,915.27
2002-07-15,915.87
2002-07-16,918.31
2002-07-17,926.38
2002-07-18,933.07
2002-07-19,920.56
2002-07-22,893.64
2002-07-23,868.19
2002-07-24,846.2
2002-07-25,866.47
2002-07-26,852.99
2002-07-29,845.25
2002-07-30,859.1
2002-07-31,832.29
2002-08-01,830.24
2002-08-02,812.54
2002-08-05,799.15
2002-08-06,815.5
2002-08-07,828.02
2002-08-08,835.31
2002-08-12,838.78
2002-08-13,847.21
2002-08-14,839.11
2002-08-15,853.52
2002-08-16,850.64
2002-08-19,853.23
2002-08-20,856.95
2002-08-21,874.41
2002-08-22,885.93
2002-08-23,885.25
2002-08-26,867.96
2002-08-27,885.55
2002-08-28,877.68
2002-08-29,873.24
2002-08-30,874.78
2002-09-02,881.91
2002-09-03,865.02
2002-09-04,859.26
2002-09-05,851.54
2002-09-06,863.06
2002-09-09,874.59
2002-09-10,893.12
2002-09-11,899.84
2002-09-12,885.96
2002-09-13,876.52
2002-09-16,886.64
2002-09-17,884.01
2002-09-18,869.22
2002-09-19,857.36
2002-09-20,866.47
2002-09-23,860.69
2002-09-25,854.82
2002-09-26,867.26
2002-09-27,875.04
2002-09-30,861.29
2002-10-01,866.73
2002-10-02,867.25
2002-10-03,864.56
2002-10-04,867.31
2002-10-07,846.01
2002-10-08,848
2002-10-09,837.5
2002-10-10,830.98
2002-10-11,856.46
2002-10-14,859.92
2002-10-15,884.21
2002-10-16,872.58
2002-10-17,877.05
2002-10-18,875.86
2002-10-21,873.84
2002-10-22,888.41
2002-10-23,886.66
2002-10-24,892.11
2002-10-25,877.49
2002-10-28,874.81
2002-10-29,852.02
2002-10-30,851.96
2002-10-31,856.12
2002-11-01,879.86
2002-11-04,873.07
2002-11-05,879.19
2002-11-06,880.6
2002-11-07,887.21
2002-11-08,881.75
2002-11-11,883.27
2002-11-12,883.25
2002-11-13,881.7
2002-11-14,885.09
2002-11-15,886.61
2002-11-18,899.83
2002-11-19,891.34
2002-11-20,890.71
2002-11-21,896.61
2002-11-22,889.37
2002-11-25,868.07
2002-11-26,844.87
2002-11-27,856.63
2002-11-28,866.78
2002-11-29,874.55
2002-12-02,881.37
2002-12-03,875.05
2002-12-04,871.95
2002-12-05,862.08
2002-12-06,853.42
2002-12-09,855.83
2002-12-10,837.13
2002-12-11,830.13
2002-12-12,828.96
2002-12-13,831.84
2002-12-17,870.49
2002-12-18,869.09
2002-12-19,864.73
2002-12-20,855.67
2002-12-23,859.3
2002-12-24,857.4
2002-12-27,860.82
2002-12-30,857.14
2002-12-31,849.66
2003-01-02,848.71
2003-01-03,855.76
2003-01-06,853.06
2003-01-07,860.15
2003-01-08,859.92
2003-01-09,857.09
2003-01-10,853.54
2003-01-13,871.97
2003-01-14,878.94
2003-01-15,874.37
2003-01-16,868.76
2003-01-17,870.58
2003-01-20,870.49
2003-01-21,872.21
2003-01-22,866.85
2003-01-23,853.88
2003-01-24,845.26
2003-01-27,829.48
2003-01-28,826.8
2003-01-29,821.65
2003-01-30,819.79
2003-01-31,807.44
2003-02-03,812.97
2003-02-04,805.23
2003-02-05,813.94
2003-02-06,809.39
2003-02-07,808.17
2003-02-10,805
2003-02-11,805.07
2003-02-12,797.64
2003-02-13,784.99
2003-02-14,789.18
2003-02-17,797.77
2003-02-18,794.08
2003-02-19,787.79
2003-02-20,774.53
2003-02-21,781.04
2003-02-24,785.68
2003-02-25,771.64
2003-02-26,761.13
2003-02-27,763.64
2003-02-28,772.67
2003-03-03,775.22
2003-03-04,765.43
2003-03-05,753.76
2003-03-06,748.57
2003-03-07,733.78
2003-03-10,725.93
2003-03-11,717.87
2003-03-12,718.2
2003-03-13,737.46
2003-03-14,747.23
2003-03-17,744.13
2003-03-18,765.47
2003-03-19,766.72
2003-03-20,752.6
2003-03-24,743.39
2003-03-25,734.66
2003-03-26,725.93
2003-03-27,722
2003-03-28,716.45
2003-03-31,711.38
2003-04-01,721.22
2003-04-02,733.22
2003-04-03,733.87
2003-04-04,729.83
2003-04-07,751.23
2003-04-08,740.14
2003-04-09,732.11
2003-04-10,721.38
2003-04-11,727.18
2003-04-14,732.93
2003-04-15,730.44
2003-04-16,728.75
2003-04-17,722.96
2003-04-22,721.52
2003-04-23,721.72
2003-04-24,697.89
2003-04-25,685.66
2003-04-29,687.79
2003-04-30,699.56
2003-05-02,713.44
2003-05-05,712.09
2003-05-06,719.3
2003-05-07,715.87
2003-05-08,704.64
2003-05-09,707.3
2003-05-12,728.18
2003-05-13,734.49
2003-05-14,748.44
2003-05-15,768.19
2003-05-16,759.94
2003-05-19,764.26
2003-05-20,755.61
2003-05-21,755.41
2003-05-22,760.7
2003-05-23,769.01
2003-05-26,778.05
2003-05-27,784.4
2003-05-28,799.48
2003-05-29,792.12
2003-05-30,797.96
2003-06-02,807.63
2003-06-03,802.26
2003-06-04,815.24
2003-06-05,813.18
2003-06-06,825.65
2003-06-09,813.44
2003-06-10,817.34
2003-06-11,813.54
2003-06-12,809.81
2003-06-13,813.13
2003-06-17,825.29
2003-06-18,827.69
2003-06-19,831.47
2003-06-20,826.31
2003-06-23,817.08
2003-06-24,798.61
2003-06-25,789.37
2003-06-26,782.07
2003-06-27,779.52
2003-06-30,780.27
2003-07-01,775.62
2003-07-02,784.45
2003-07-03,801.42
2003-07-04,793.96
2003-07-07,797.29
2003-07-08,819.21
2003-07-09,807.32
2003-07-10,800.65
2003-07-11,808.79
2003-07-14,829.24
2003-07-15,821.34
2003-07-16,819.54
2003-07-17,805.68
2003-07-18,803.03
2003-07-21,801.91
2003-07-22,798.72
2003-07-23,799.37
2003-07-24,811.07
2003-07-25,818.77
2003-07-28,821.91
2003-07-29,817.33
2003-07-30,817.77
2003-07-31,824.61
2003-08-01,824.36
2003-08-04,828.43
2003-08-05,829.92
2003-08-06,824.56
2003-08-07,819.47
2003-08-08,829.66
2003-08-11,834.19
2003-08-12,841.61
2003-08-13,849.87
2003-08-14,842.2
2003-08-15,844.82
2003-08-18,849.12
2003-08-19,857.02
2003-08-20,859.94
2003-08-21,876.95
2003-08-22,877.07
2003-08-25,870.2
2003-08-26,854.97
2003-08-27,859.45
2003-08-28,863.62
2003-08-29,866.96
2003-09-01,879.71
2003-09-02,865.9
2003-09-03,875.64
2003-09-04,874.69
2003-09-05,892.94
2003-09-08,897.17
2003-09-09,906.19
2003-09-10,889.39
2003-09-11,886.4
2003-09-12,881.94
2003-09-15,882.15
2003-09-16,894.28
2003-09-17,886.09
2003-09-18,886.03
2003-09-19,886.93
2003-09-22,874.79
2003-09-23,862.74
2003-09-25,860.95
2003-09-26,857.95
2003-09-29,863.13
2003-09-30,842.16
2003-10-01,836.4
2003-10-02,845.83
2003-10-03,859.24
2003-10-06,869.83
2003-10-07,859.77
2003-10-08,873.12
2003-10-09,891.17
2003-10-10,896.54
2003-10-13,911.3
2003-10-14,902.58
2003-10-15,910.03
2003-10-16,913.11
2003-10-17,931.86
2003-10-20,928.43
2003-10-21,921.4
2003-10-22,909.5
2003-10-23,902.05
2003-10-24,899.18
2003-10-27,899.65
2003-10-28,913.12
2003-10-29,917.95
2003-10-30,929.12
2003-10-31,924.52
2003-11-03,925.6
2003-11-04,929.35
2003-11-05,927.16
2003-11-06,936.25
2003-11-07,940.09
2003-11-10,937.12
2003-11-11,925.64
2003-11-12,931.43
2003-11-13,934.93
2003-11-14,939.64
2003-11-17,920.54
2003-11-18,919.53
2003-11-19,915.49
2003-11-20,902.4
2003-11-21,907.8
2003-11-24,908.67
2003-11-25,915
2003-11-26,910.26
2003-11-27,914.49
2003-11-28,922.43
2003-12-01,941.6
2003-12-02,933.99
2003-12-03,920.77
2003-12-04,910.35
2003-12-05,927.93
2003-12-08,927.79
2003-12-09,935.56
2003-12-10,928.26
2003-12-11,924.8
2003-12-12,928.88
2003-12-15,935.86
2003-12-17,941.85
2003-12-18,958.57
2003-12-19,971.33
2003-12-22,979.4
2003-12-23,981.82
2003-12-24,980.59
2003-12-29,980.48
2003-12-30,985.7
2003-12-31,986.32
2004-01-02,998.06
2004-01-05,988.23
2004-01-06,998.19
2004-01-07,999.57
2004-01-08,999
2004-01-09,1005.67
2004-01-12,1018.88
2004-01-13,1034.16
2004-01-14,1040.83
2004-01-15,1038.67
2004-01-16,1047.11
2004-01-19,1044.8
2004-01-20,1043.69
2004-01-21,1038.05
2004-01-22,1046.58
2004-01-23,1052.8
2004-01-26,1057.56
2004-01-27,1052.58
2004-01-28,1033.3
2004-01-29,1032.57
2004-01-30,1032.08
2004-02-02,1030.6
2004-02-03,1029.09
2004-02-04,1023.42
2004-02-05,1013.23
2004-02-06,1028.32
2004-02-09,1035.57
2004-02-10,1039.42
2004-02-11,1030.14
2004-02-12,1029.14
2004-02-13,1029.83
2004-02-16,1032.37
2004-02-17,1041.87
2004-02-18,1040.7
2004-02-19,1048.67
2004-02-20,1045.31
2004-02-23,1033.15
2004-02-24,1019.76
2004-02-25,1023.34
2004-02-26,1029.97
2004-02-27,1037.02
2004-03-01,1050.46
2004-03-02,1061.87
2004-03-03,1064.06
2004-03-04,1060.64
2004-03-05,1056.26
2004-03-08,1052.03
2004-03-09,1050.26
2004-03-10,1040.35
2004-03-11,1023.61
2004-03-12,1027.14
2004-03-15,1017.93
2004-03-16,1025.48
2004-03-17,1027.86
2004-03-18,1042.1
2004-03-19,1034.02
2004-03-23,1019.14
2004-03-24,1008.12
2004-03-25,1007.1
2004-03-26,1018.46
2004-03-29,1015.39
2004-03-30,1014.25
2004-03-31,1022.58
2004-04-01,1029.56
2004-04-02,1043.71
2004-04-05,1040.98
2004-04-06,1045
2004-04-07,1038.85
2004-04-08,1040.83
2004-04-13,1053.61
2004-04-15,1039.08
2004-04-16,1032.27
2004-04-19,1029.14
2004-04-20,1034.82
2004-04-21,1024.6
2004-04-22,1025.46
2004-04-23,1022.74
2004-04-26,1024.33
2004-04-28,1020.1
2004-04-29,1011.93
2004-04-30,998.4
2004-05-03,999.78
2004-05-04,1013.17
2004-05-05,1016.56
2004-05-06,1001.06
2004-05-07,1000.52
2004-05-10,967.58
2004-05-11,973.61
2004-05-12,962.92
2004-05-13,964.34
2004-05-14,938.92
2004-05-17,942.92
2004-05-18,937.13
2004-05-19,970.07
2004-05-20,966.08
2004-05-21,976.48
2004-05-24,960.53
2004-05-25,966.55
2004-05-26,980.85
2004-05-27,998.89
2004-05-28,991.11
2004-05-31,1001.46
2004-06-01,991.33
2004-06-02,992.23
2004-06-03,983.66
2004-06-04,980.06
2004-06-07,997.41
2004-06-08,1008.73
2004-06-09,1002.55
2004-06-10,992.57
2004-06-11,981.85
2004-06-14,979.7
2004-06-15,971.96
2004-06-17,979.79
2004-06-18,979.52
2004-06-21,973.39
2004-06-22,967.07
2004-06-23,961.12
2004-06-24,981.03
2004-06-25,984.04
2004-06-28,978.47
2004-06-29,976.33
