Date,JALSH,MSCIWORLD,SA10YR,GSCI,JASPY,TBILLS,SACPI,USDZAR
27698,1.820274221,1.385115956,1.293790777,4.221675922,#N/A,1.266346012,1.5625,1.224782242
27728,1.816439595,1.42364719,1.304555444,4.172147631,#N/A,1.27351142,1.625,1.225344198
27759,1.845941081,1.423071065,1.315409676,4.057912324,#N/A,1.280759823,1.625,1.22379882
27790,1.900734785,1.550233007,1.31252203,3.863743653,#N/A,1.288124192,1.625,1.22379882
27819,1.844962432,1.53805732,1.335883505,4.082850237,#N/A,1.295584577,1.625,1.223236864
27850,1.751284703,1.556909241,1.355371752,4.093123873,#N/A,1.303228526,1.625,1.22379882
27880,1.877365418,1.54485108,1.360645202,4.248712863,#N/A,1.311080478,1.625,1.223236864
27911,1.961383615,1.51911185,1.370260101,4.325576031,#N/A,1.318990664,1.625,1.223236864
27941,1.788721036,1.55974538,1.37911562,4.236756032,#N/A,1.326904608,1.6875,1.218460242
27972,1.765354978,1.551210494,1.392353026,3.876836476,#N/A,1.334987668,1.6875,1.223236864
28003,1.507414706,1.549108891,1.363190865,3.771273963,#N/A,1.343320217,1.75,1.224360775
28033,1.664141516,1.56068309,1.31542691,3.395430551,#N/A,1.352007021,1.75,1.223236864
28064,1.613051073,1.506079389,1.328504916,3.353560212,#N/A,1.360749999,1.75,1.223236864
28094,1.704221775,1.500166379,1.351191236,3.401397525,#N/A,1.369515497,1.75,1.223236864
28125,1.797224289,1.610944717,1.371740686,3.567904924,#N/A,1.378326047,1.75,1.221691486
28156,1.727305961,1.556867525,1.370458955,3.558410105,#N/A,1.38721625,1.8125,1.221691486
28184,1.887613412,1.550034267,1.388083691,3.549622434,#N/A,1.396256276,1.8125,1.221691486
28215,1.792484376,1.540344497,1.403392408,3.678811474,#N/A,1.40541339,1.8125,1.221691486
28245,1.772164704,1.560583166,1.401397353,3.87969016,#N/A,1.414653983,1.875,1.224360775
28276,1.761210446,1.536029864,1.432069978,3.738305359,#N/A,1.423919967,1.875,1.221691486
28306,1.772378677,1.59238855,1.440973985,3.644446344,#N/A,1.433199178,1.875,1.220567575
28337,1.922850527,1.574476003,1.460298697,3.341424154,#N/A,1.44257469,1.875,1.223236864
28368,2.000658354,1.578295864,1.466750325,3.369929172,#N/A,1.452047597,1.875,1.221691486
28398,2.100994668,1.597952586,1.498785279,3.492855742,#N/A,1.461582709,1.875,1.221691486
28429,2.114546874,1.567945844,1.512376053,3.587160441,#N/A,1.471156076,1.875,1.219584153
28459,2.172348813,1.59033587,1.54438821,3.746082834,#N/A,1.480865706,1.875,1.221691486
28490,2.352245865,1.62188777,1.559070617,3.93789682,#N/A,1.49063942,1.9375,1.221691486
28521,2.373961712,1.573450148,1.555150059,4.062994201,#N/A,1.500452796,1.9375,1.221129531
28549,2.21648597,1.561355537,1.576721054,4.127003709,#N/A,1.510380792,1.9375,1.221129531
28580,2.233721477,1.631983613,1.595646803,4.553061537,#N/A,1.520387065,1.9375,1.221129531
28610,2.303669619,1.70602229,1.617649036,4.653033532,#N/A,1.530497639,2,1.221691486
28641,2.436552998,1.727414317,1.640860229,5.00787458,#N/A,1.540675448,2,1.221691486
28671,2.612931648,1.748327789,1.656301231,4.550127474,#N/A,1.55092094,2,1.224360775
28702,2.875562703,1.870229764,1.670866345,4.663942301,#N/A,1.561247488,2.125,1.221691486
28733,2.883885514,1.913086442,1.709161,4.791212352,#N/A,1.571642794,2.125,1.221691486
28763,3.006655356,1.935069147,1.738646712,5.060701543,#N/A,1.581989443,2.125,1.221691486
28794,3.195565688,1.897358791,1.787138447,5.111508579,#N/A,1.592074626,2.125,1.221691486
28824,2.93254868,1.827667594,1.814207305,5.236593183,#N/A,1.60213123,2.125,1.22000562
28855,3.215664713,1.889801946,1.835833345,5.182517443,#N/A,1.611997688,2.125,1.221691486
28886,3.511266993,1.942316655,1.89538603,5.568488252,#N/A,1.621884608,2.1875,1.224360775
28914,3.677456235,1.852521917,1.943295389,5.73211862,#N/A,1.631845682,2.1875,1.190643439
28945,3.632237922,1.9259203,1.952931571,5.618372789,#N/A,1.641242394,2.25,1.188114639
28975,3.609446433,1.931846477,1.969000791,5.981981645,#N/A,1.649968332,2.25,1.193593706
29006,3.887926802,1.884635667,1.952379839,5.659211443,#N/A,1.657695684,2.25,1.185023883
29036,3.78602815,1.948143046,1.967569736,5.76214352,#N/A,1.66530727,2.3125,1.190643439
29067,3.870482416,1.943636047,1.965338922,5.468226916,#N/A,1.672787275,2.375,1.179123349
29098,4.301562088,2.013781686,2.001018,6.074753105,#N/A,1.679924501,2.375,1.174627704
29128,4.879677346,2.043567375,2.037220738,6.288820673,#N/A,1.686336213,2.4375,1.165917393
29159,5.071557147,1.890430597,2.055398475,6.086826206,#N/A,1.692449181,2.4375,1.165355437
29189,5.424466968,1.954174275,2.046022375,6.528360464,#N/A,1.69802016,2.4375,1.168867659
29220,6.209255939,1.99431719,2.064548377,6.595878652,#N/A,1.703467975,2.5,1.161983703
29251,6.176697899,2.088856335,2.091189295,6.909524218,#N/A,1.70924557,2.5,1.148075302
29280,6.837094263,2.065845973,2.104578593,6.767736593,#N/A,1.715213686,2.5625,1.135009834
29311,6.302246002,1.848568176,2.120795235,5.838391069,#N/A,1.721302695,2.5625,1.138241079
29341,6.306399008,1.944285626,2.116812131,5.977772786,#N/A,1.727327254,2.5625,1.123770722
29372,6.984415192,1.997904911,2.117240936,6.2112327,#N/A,1.733531238,2.625,1.100730542
29402,7.655828379,2.056738288,2.132684957,6.44616046,#N/A,1.740046426,2.6875,1.081483563
29433,8.297858658,2.101965991,2.108161156,6.69609399,#N/A,1.746731104,2.6875,1.072492273
29464,8.858452502,2.126409528,2.095332073,6.752137853,#N/A,1.753281346,2.6875,1.064343917
29494,9.487283947,2.178948353,2.071830161,7.093715912,#N/A,1.759739266,2.75,1.059005339
29525,9.766272817,2.230182338,2.002272656,7.277462851,#N/A,1.766528926,2.875,1.053385783
29555,9.168138236,2.326821977,1.970472367,7.187920951,#N/A,1.773550879,2.875,1.055071649
29586,8.702651089,2.259636516,1.958643067,6.6058885,#N/A,1.781502299,2.9375,1.047625738
29617,7.407715047,2.236209271,1.904077556,6.306434113,#N/A,1.790291043,2.9375,1.067996628
29645,7.551739263,2.311723532,1.897335838,6.312678232,#N/A,1.800018291,2.9375,1.10101152
29676,8.09854394,2.441537286,1.915312439,6.428277425,#N/A,1.811238405,2.9375,1.123068278
29706,8.25264723,2.50441241,1.942031599,6.501542009,#N/A,1.822664301,2.9375,1.151587525
29737,8.305485788,2.537856362,1.924091725,6.756869176,#N/A,1.834435674,3,1.190362461
29767,7.346004814,2.651227194,1.947091291,6.62255412,#N/A,1.847567176,3.0625,1.245855577
29798,7.915934319,2.802674125,1.96926257,7.445957886,#N/A,1.861901219,3.125,1.339842652
29829,8.680612112,2.717425883,1.981941963,7.1236983,#N/A,1.878270433,3.1875,1.325372296
29859,9.080406624,2.543943582,1.990546563,7.20283798,#N/A,1.895926175,3.25,1.341809497
29890,9.094993786,2.646187865,2.013518378,7.292659464,#N/A,1.91377948,3.25,1.354453498
29920,8.821385439,2.8335849,2.032342528,6.942315106,#N/A,1.932215556,3.3125,1.350238831
29951,8.780991382,2.764900155,2.044774893,6.53595244,#N/A,1.951924155,3.3125,1.346305142
29982,8.572946431,2.763600859,2.002284209,7.161563979,#N/A,1.973850769,3.3125,1.365973588
30010,7.889240606,2.617418191,1.99706489,7.058949236,#N/A,1.997536979,3.375,1.377353189
30041,6.845528023,2.721534708,2.0101899,7.828607373,#N/A,2.02307216,3.4375,1.472604664
30071,7.082200738,2.848626661,2.04253724,8.093807791,#N/A,2.049726135,3.4375,1.469513908
30102,6.515407939,2.868934626,2.074217231,8.382817679,#N/A,2.076594629,3.5,1.518544535
30132,6.03791948,2.891082532,2.061970385,8.582660615,#N/A,2.104109507,3.5,1.602978365
30163,7.103762485,2.869340838,2.064489374,8.818319915,#N/A,2.132374712,3.5625,1.611969654
30194,8.278067361,3.086279363,2.156190689,8.82530057,#N/A,2.161570476,3.625,1.616886766
30224,9.355689841,3.114003225,2.346003353,8.606002796,#N/A,2.19076969,3.6875,1.624192189
30255,9.692490502,3.373936188,2.441574687,8.675941412,#N/A,2.220509389,3.6875,1.646951391
30285,10.7377834,3.361071701,2.521378737,8.53735791,#N/A,2.249579557,3.75,1.558443383
