"Index","JALSH"
1971-01-31,3.30284238
1971-02-28,3.32464458
1971-03-31,3.385892311
1971-04-30,3.55619943
1971-05-31,3.641009569
1971-06-30,3.658092871
1971-07-31,3.726787021
1971-08-31,3.406630855
1971-09-30,3.172435501
1971-10-31,2.823219175
1971-11-30,3.151319325
1971-12-31,3.391372316
1972-01-31,3.797178289
1972-02-29,3.855854308
1972-03-31,4.216348813
1972-04-30,4.444605367
1972-05-31,4.832306781
1972-06-30,4.908273884
1972-07-31,5.314314626
1972-08-31,5.523471599
1972-09-30,5.480589826
1972-10-31,5.476471074
1972-11-30,5.476301157
1972-12-31,5.762525751
1973-01-31,5.718880549
1973-02-28,5.874595746
1973-03-31,6.05305748
1973-04-30,5.97868342
1973-05-31,6.317544819
1973-06-30,6.892003534
1973-07-31,6.471117445
1973-08-31,6.323418432
1973-09-30,5.919144846
1973-10-31,6.144677266
1973-11-30,5.1258688
1973-12-31,6.062797604
1974-01-31,7.019160218
1974-02-28,7.344224306
1974-03-31,8.606256265
1974-04-30,7.947627378
1974-05-31,7.098517768
1974-06-30,6.624108895
1974-07-31,7.40653976
1974-08-31,7.281312239
1974-09-30,6.343361052
1974-10-31,7.18259123
1974-11-30,6.960961454
1974-12-31,6.37024903
1975-01-31,6.54750543
1975-02-28,6.822424807
1975-03-31,6.650783129
1975-04-30,6.312541635
1975-05-31,6.662091528
1975-06-30,7.402451857
1975-07-31,7.173157246
1975-08-31,6.05970138
1975-09-30,5.813699712
1975-10-31,6.012078842
1975-11-30,5.999413676
1975-12-31,6.096852435
1976-01-31,6.277827402
1976-02-29,6.09362011
1976-03-31,5.784217337
1976-04-30,6.200642065
1976-05-31,6.478140928
1976-06-30,5.907863643
1976-07-31,5.830689238
1976-08-31,4.978753174
1976-09-30,5.496397124
1976-10-31,5.327653445
1976-11-30,5.628775903
1976-12-31,5.935948547
1977-01-31,5.705019331
1977-02-28,6.234489574
1977-03-31,5.920293362
1977-04-30,5.853180689
1977-05-31,5.8170005
1977-06-30,5.853887409
1977-07-31,6.350872213
1977-08-31,6.607859198
1977-09-30,6.939254228
1977-10-31,6.984015031
1977-11-30,7.174925724
1977-12-31,7.769097331
1978-01-31,7.84082135
1978-02-28,7.320703797
1978-03-31,7.377629959
1978-04-30,7.608657648
1978-05-31,8.047550504
1978-06-30,8.630101383
1978-07-31,9.497530361
1978-08-31,9.525019297
1978-09-30,9.930508734
1978-10-31,10.55444978
1978-11-30,9.685746063
1978-12-31,10.62083369
1979-01-31,11.59716143
1979-02-28,12.1460583
1979-03-31,11.99670934
1979-04-30,11.92143265
1979-05-31,12.84120941
1979-06-30,12.50465423
1979-07-31,12.78359335
1979-08-31,14.20738156
1979-09-30,16.11680514
1979-10-31,16.75055388
1979-11-30,17.91615939
1979-12-31,20.50819367
1980-01-31,20.40065959
1980-02-29,22.58184469
1980-03-31,20.81532518
1980-04-30,20.82904191
1980-05-31,23.0684225
1980-06-30,25.28599442
1980-07-31,27.40651924
1980-08-31,29.25807235
1980-09-30,31.33500349
1980-10-31,32.25645976
1980-11-30,30.28091551
1980-12-31,28.74348484
1981-01-31,24.4665152
1981-02-28,24.94220448
1981-03-31,26.74821414
1981-04-30,27.25719302
1981-05-31,27.43171045
1981-06-30,24.26269602
1981-07-31,26.14508335
1981-08-31,28.67069357
1981-09-30,29.99115183
1981-10-31,30.03933092
1981-11-30,29.13564568
1981-12-31,29.00223048
1982-01-31,28.31509079
1982-02-28,26.05691822
1982-03-31,22.60970007
1982-04-30,23.39139274
1982-05-31,21.51936547
1982-06-30,19.94229635
1982-07-31,23.46260779
1982-08-31,27.34115171
1982-09-30,30.9003689
1982-10-31,32.0127684
1982-11-30,35.46520608
1982-12-31,40.04916654
1983-01-31,44.04431935
1983-02-28,37.91424431
1983-03-31,38.78450697
1983-04-30,42.62015148
1983-05-31,44.28335076
1983-06-30,44.72302282
1983-07-31,44.95986327
1983-08-31,46.3363352
1983-09-30,43.48813088
1983-10-31,38.86755709
1983-11-30,43.23922156
1983-12-31,45.77464005
1984-01-31,45.36006122
1984-02-29,50.27315173
1984-03-31,51.42390553
1984-04-30,52.07436227
1984-05-31,51.49606088
1984-06-30,50.91791397
1984-07-31,45.99655368
1984-08-31,49.06385521
1984-09-30,48.50454197
1984-10-31,50.10988512
1984-11-30,52.69716515
1984-12-31,50.06753326
1985-01-31,48.57252457
1985-02-28,48.29337838
1985-03-31,53.37845476
1985-04-30,56.39662313
1985-05-31,59.00855529
1985-06-30,58.96880031
1985-07-31,56.36365603
1985-08-31,61.30322281
1985-09-30,63.03659549
1985-10-31,64.82457654
1985-11-30,69.6021784
1985-12-31,70.92760882
1986-01-31,75.39350577
1986-02-28,75.38027091
1986-03-31,79.41945622
1986-04-30,74.0092077
1986-05-31,77.70531771
1986-06-30,82.35324275
1986-07-31,88.85950015
1986-08-31,102.8645782
1986-09-30,106.3897937
1986-10-31,105.5229008
1986-11-30,111.4675397
1986-12-31,110.360512
1987-01-31,119.4976861
1987-02-28,117.9291561
1987-03-31,122.0691728
1987-04-30,132.9972933
1987-05-31,132.3286922
1987-06-30,132.6523585
1987-07-31,150.0782558
1987-08-31,154.6372098
1987-09-30,153.4868627
1987-10-31,117.5556539
1987-11-30,111.3568307
1987-12-31,105.6723656
1988-01-31,91.5161521
1988-02-29,88.99028061
1988-03-31,98.86491235
1988-04-30,101.3468547
1988-05-31,99.4808582
1988-06-30,104.5703664
1988-07-31,108.3838052
1988-08-31,103.5800775
1988-09-30,111.4900913
1988-10-31,119.0818465
1988-11-30,119.0984213
1988-12-31,121.314566
1989-01-31,136.3066578
1989-02-28,147.5484402
1989-03-31,155.8126126
1989-04-30,160.0512245
1989-05-31,148.5284485
1989-06-30,163.2516613
1989-07-31,166.6994868
1989-08-31,174.0199762
1989-09-30,173.4511393
1989-10-31,169.651739
1989-11-30,180.4355947
1989-12-31,188.3733933
1990-01-31,202.9327945
1990-02-28,196.4700061
1990-03-31,208.05947
1990-04-30,194.2921592
1990-05-31,204.878172
1990-06-30,198.3375581
1990-07-31,203.7426686
1990-08-31,194.1453815
1990-09-30,178.640988
1990-10-31,174.2232955
1990-11-30,170.5313293
1990-12-31,178.929389
1991-01-31,168.7814619
1991-02-28,185.6601044
1991-03-31,191.1596604
1991-04-30,202.0731049
1991-05-31,208.1228027
1991-06-30,221.459584
1991-07-31,234.4780059
1991-08-31,225.5351703
1991-09-30,222.6791053
1991-10-31,238.7098239
1991-11-30,240.434837
1991-12-31,234.2111079
1992-01-31,246.0183239
1992-02-29,246.1176561
1992-03-31,243.5376172
1992-04-30,237.6317575
1992-05-31,257.3648191
1992-06-30,252.7702614
1992-07-31,237.9959065
1992-08-31,219.2452097
1992-09-30,224.1627986
1992-10-31,211.3079747
1992-11-30,224.2315817
1992-12-31,229.5852617
1993-01-31,242.5110652
1993-02-28,242.1079001
1993-03-31,252.8246088
1993-04-30,265.7465893
1993-05-31,284.8662849
1993-06-30,291.621833
1993-07-31,299.3700258
1993-08-31,289.89936
1993-09-30,271.6715109
1993-10-31,282.8740154
1993-11-30,301.4618085
1993-12-31,354.8353436
1994-01-31,345.5390739
1994-02-28,352.8249328
1994-03-31,360.3334453
1994-04-30,391.6344823
1994-05-31,395.0673326
1994-06-30,396.3860993
1994-07-31,415.2863342
1994-08-31,429.4111112
1994-09-30,418.5830054
1994-10-31,422.8878717
1994-11-30,426.0394277
1994-12-31,435.0165331
1995-01-31,375.664807
