"Index","JALSH"
1995-02-28,383.2869626
1995-03-31,394.13912
1995-04-30,409.6307665
1995-05-31,409.9079113
1995-06-30,406.9465292
1995-07-31,409.1437458
1995-08-31,417.9270177
1995-09-30,427.3768803
1995-10-31,438.2231386
1995-11-30,452.9421542
1995-12-31,473.2752536
1996-01-31,522.9269067
1996-02-29,511.2167793
1996-03-31,515.4946313
1996-04-30,533.7856675
1996-05-31,522.7150699
1996-06-30,528.2924098
1996-07-31,508.4650125
1996-08-31,515.8343624
1996-09-30,531.3698277
1996-10-31,539.9213403
1996-11-30,520.7781371
1996-12-31,517.4927419
1997-01-31,520.0363696
1997-02-28,557.514361
1997-03-31,554.7264952
1997-04-30,558.6125503
1997-05-31,551.2566112
1997-06-30,583.5762797
1997-07-31,589.7801938
1997-08-31,576.985399
1997-09-30,563.6599953
1997-10-31,522.6777328
1997-11-30,502.9988109
1997-12-31,494.3055697
1998-01-31,523.1042261
1998-02-28,567.5874206
1998-03-31,607.3145209
1998-04-30,660.9550548
1998-05-31,613.5774546
1998-06-30,545.8097726
1998-07-31,566.9573815
1998-08-31,399.2533779
1998-09-30,414.5839683
1998-10-31,474.9794735
1998-11-30,459.2776605
1998-12-31,445.0032784
1999-01-31,476.3877996
1999-02-28,487.014463
1999-03-31,526.6688973
1999-04-30,584.0212222
1999-05-31,537.7471793
1999-06-30,585.1846998
1999-07-31,590.3603259
1999-08-31,578.4776858
1999-09-30,572.7618762
1999-10-31,598.7847112
1999-11-30,633.342479
1999-12-31,717.454856
2000-01-31,713.0042078
2000-02-29,673.6165212
2000-03-31,672.0600758
2000-04-30,630.2629513
2000-05-31,624.8288309
2000-06-30,655.4204716
2000-07-31,659.1762525
2000-08-31,724.5371482
2000-09-30,707.6886742
2000-10-31,695.3384715
2000-11-30,670.6104344
2000-12-31,716.9103877
2001-01-31,782.565243
2001-02-28,779.0650832
2001-03-31,707.2202519
2001-04-30,779.8101251
2001-05-31,817.3563662
2001-06-30,804.6575308
2001-07-31,748.6282138
2001-08-31,788.0546793
2001-09-30,714.8826011
2001-10-31,753.5635756
2001-11-30,834.6306604
2001-12-31,925.1007176
2002-01-31,916.0183508
2002-02-28,962.4517634
2002-03-31,976.8778323
2002-04-30,986.5574457
2002-05-31,1006.034021
2002-06-30,958.1701017
2002-07-31,832.2900883
2002-08-31,874.7800928
2002-09-30,861.2900914
2002-10-31,856.1200909
2002-11-30,874.5500928
2002-12-31,849.6600902
2003-01-31,807.4400857
2003-02-28,772.670082
2003-03-31,711.3800755
2003-04-30,699.5600742
2003-05-31,797.9600847
2003-06-30,780.2700828
2003-07-31,824.6100875
2003-08-31,866.960092
2003-09-30,842.1600894
2003-10-31,924.5200981
2003-11-30,922.4300979
2003-12-31,986.3201047
2004-01-31,1032.08011
2004-02-29,1037.02011
2004-03-31,1022.580109
2004-04-30,998.400106
2004-05-31,1001.460106
2004-06-30,974.2801034
2004-07-31,995.2501056
2004-08-31,1082.300115
2004-09-30,1144.130121
2004-10-31,1137.110121
2004-11-30,1219.640129
2004-12-31,1237.250131
2005-01-31,1254.010133
2005-02-28,1322.42014
2005-03-31,1310.860139
2005-04-30,1243.080132
2005-05-31,1365.420145
2005-06-30,1405.810149
2005-07-31,1506.62016
2005-08-31,1537.560163
2005-09-30,1690.990179
2005-10-31,1650.840175
2005-11-30,1686.190179
2005-12-31,1821.870193
2006-01-31,1990.170211
2006-02-28,1926.040204
2006-03-31,2063.300219
2006-04-30,2150.530228
2006-05-31,2093.110222
2006-06-30,2163.69023
2006-07-31,2132.120226
2006-08-31,2248.170239
2006-09-30,2300.730244
2006-10-31,2405.930255
2006-11-30,2470.290262
2006-12-31,2573.000273
2007-01-31,2630.440279
2007-02-28,2669.930283
2007-03-31,2840.110301
2007-04-30,2938.910312
2007-05-31,2990.310317
2007-06-30,2961.900314
2007-07-31,2990.270317
2007-08-31,3010.38032
2007-09-30,3160.720335
2007-10-31,3312.240352
2007-11-30,3206.56034
2007-12-31,3066.870326
2008-01-31,2894.850307
2008-02-29,3255.330346
2008-03-31,3156.360335
2008-04-30,3288.710349
2008-05-31,3411.190362
2008-06-30,3262.450346
2008-07-31,2978.060316
2008-08-31,2987.360317
2008-09-30,2591.850275
2008-10-31,2289.990243
2008-11-30,2319.070246
2008-12-31,2354.29025
2009-01-31,2254.240239
2009-02-28,2031.670216
2009-03-31,2255.540239
2009-04-30,2291.160243
2009-05-31,2527.870268
2009-06-30,2450.64026
2009-07-31,2698.160286
2009-08-31,2784.500296
2009-09-30,2791.420296
2009-10-31,2959.370314
2009-11-30,3022.430321
2009-12-31,3110.79033
2010-01-31,3001.790319
2010-02-28,3012.99032
2010-03-31,3250.110345
2010-04-30,3248.170345
2010-05-31,3082.130327
2010-06-30,2984.480317
2010-07-31,3224.600342
2010-08-31,3109.27033
2010-09-30,3381.140359
2010-10-31,3501.180372
2010-11-30,3485.37037
2010-12-31,3701.330393
2011-01-31,3621.620384
2011-02-28,3723.200395
2011-03-31,3742.650397
2011-04-30,3826.560406
2011-05-31,3796.990403
2011-06-30,3719.910395
2011-07-31,3645.830387
2011-08-31,3634.090386
2011-09-30,3502.830372
2011-10-31,3830.330407
2011-11-30,3891.520413
2011-12-31,3796.350403
2012-01-31,4013.840426
2012-02-29,4081.930433
2012-03-31,4024.320427
2012-04-30,4138.340439
2012-05-31,3989.820423
2012-06-30,4063.730431
2012-07-31,4173.680443
2012-08-31,4288.120455
2012-09-30,4358.650463
2012-10-31,4542.460482
2012-11-30,4662.180495
2012-12-31,4809.26051
2013-01-31,4964.470527
2013-02-28,4870.450517
2013-03-31,4928.630523
2013-04-30,4805.70051
2013-05-31,5214.730553
2013-06-30,4917.610522
2013-07-31,5134.340545
2013-08-31,5266.660559
2013-09-30,5534.000587
2013-10-31,5733.980609
2013-11-30,5670.886687
2013-12-31,5840.094277
2014-01-31,5702.302914
2014-02-28,5980.806994
2014-03-31,6090.431361
2014-04-30,6251.892752
2014-05-31,6351.825403
2014-06-30,6527.530733
2014-07-31,6587.921723
2014-08-31,6557.70976
2014-09-30,6388.591478
2014-10-31,6452.80934
2014-11-30,6487.849623
2014-12-31,6475.346912
2015-01-31,6674.849455
2015-02-28,6946.396755
2015-03-31,6853.852843
2015-04-30,7175.876338
2015-05-31,6892.159446
2015-06-30,6840.02088
2015-07-31,6875.758041
2015-08-31,6631.388052
2015-09-30,6694.612767
2015-10-31,7204.180937
2015-11-30,6926.210936
2015-12-31,6807.384673
2016-01-31,6604.108199
2016-02-29,6643.16499
2016-03-31,7070.921594
2016-04-30,7190.888308
2016-05-31,7322.952156
2016-06-30,7101.744352
2016-07-31,7184.246555
2016-08-31,7202.756019
2016-09-30,7135.684821
2016-10-31,6957.940855
2016-11-30,6919.327528
2016-12-31,6986.33
