"Index","MSCIWORLD"
1971-01-31,72.15445
1971-02-28,72.95634
1971-03-31,76.1363
1971-04-30,78.54815
1971-05-31,76.73122
1971-06-30,77.44519
1971-07-31,76.25003
1971-08-31,76.78631
1971-09-30,77.13017
1971-10-31,74.4127
1971-11-30,75.08375
1971-12-31,87.9841
1972-01-31,89.74213
1972-02-29,92.66649
1972-03-31,93.48965
1972-04-30,95.19942
1972-05-31,96.59511
1972-06-30,98.7782
1972-07-31,102.62777
1972-08-31,105.6224
1972-09-30,104.0152
1972-10-31,102.73836
1972-11-30,108.29659
1972-12-31,110.11221
1973-01-31,110.36534
1973-02-28,101.28703
1973-03-31,100.32087
1973-04-30,94.61863
1973-05-31,94.98186
1973-06-30,90.85741
1973-07-31,93.12027
1973-08-31,89.38914
1973-09-30,91.97567
1973-10-31,92.75186
1973-11-30,80.72508
1973-12-31,80.19251
1974-01-31,80.67533
1974-02-28,81.93051
1974-03-31,79.71326
1974-04-30,78.38515
1974-05-31,75.3859
1974-06-30,72.52743
1974-07-31,68.21176
1974-08-31,64.08409
1974-09-30,58.61784
1974-10-31,64.22814
1974-11-30,62.35856
1974-12-31,61.42054
1975-01-31,69.4211
1975-02-28,74.43432
1975-03-31,74.97972
1975-04-30,79.15355
1975-05-31,80.79967
1975-06-30,86.15082
1975-07-31,81.34527
1975-08-31,80.13023
1975-09-30,93.42635
1975-10-31,99.94228
1975-11-30,102.72248
1975-12-31,102.68091
1976-01-31,111.85621
1976-02-29,110.97768
1976-03-31,112.33793
1976-04-30,111.46788
1976-05-31,109.61068
1976-06-30,112.54257
1976-07-31,111.92674
1976-08-31,111.7751
1976-09-30,112.61023
1976-10-31,108.67033
1976-11-30,108.24368
1976-12-31,116.23683
1977-01-31,112.33492
1977-02-28,111.84187
1977-03-31,111.14271
1977-04-30,112.60302
1977-05-31,110.83139
1977-06-30,114.89792
1977-07-31,113.60545
1977-08-31,113.88107
1977-09-30,115.29939
1977-10-31,113.13427
1977-11-30,114.74981
1977-12-31,117.02642
1978-01-31,113.53143
1978-02-28,112.65875
1978-03-31,117.75488
1978-04-30,123.0971
1978-05-31,124.64063
1978-06-30,126.14963
1978-07-31,134.9454
1978-08-31,138.0377
