"Index","MSCIWORLD"
1978-09-30,139.62385
1978-10-31,136.90288
1978-11-30,131.87435
1978-12-31,136.35762
1979-01-31,140.14679
1979-02-28,133.6677
1979-03-31,138.96372
1979-04-30,139.39132
1979-05-31,135.98485
1979-06-30,140.56719
1979-07-31,140.24199
1979-08-31,145.30331
1979-09-30,147.45248
1979-10-31,136.40298
1979-11-30,141.00237
1979-12-31,143.89886
1980-01-31,150.72028
1980-02-29,149.05998
1980-03-31,133.38242
1980-04-30,140.28886
1980-05-31,144.15773
1980-06-30,148.40282
1980-07-31,151.6662
1980-08-31,153.42991
1980-09-30,157.22082
1980-10-31,160.91758
1980-11-30,167.89056
1980-12-31,163.04283
1981-01-31,161.35245
1981-02-28,166.80114
1981-03-31,176.16778
1981-04-30,180.7045
1981-05-31,183.11763
1981-06-30,191.29784
1981-07-31,202.22541
1981-08-31,196.07437
1981-09-30,183.55685
1981-10-31,190.93423
1981-11-30,204.45576
1981-12-31,199.49985
1982-01-31,199.4061
1982-02-28,188.85837
1982-03-31,196.37084
1982-04-30,205.54109
1982-05-31,207.0064
1982-06-30,208.60447
1982-07-31,207.03571
1982-08-31,222.68879
1982-09-30,224.68919
1982-10-31,243.44451
1982-11-30,242.51628
1982-12-31,245.31585
1983-01-31,249.03553
1983-02-28,259.61971
1983-03-31,270.08671
1983-04-30,287.94633
1983-05-31,280.68703
1983-06-30,294.84246
1983-07-31,290.8063
1983-08-31,299.5561
1983-09-30,299.49341
1983-10-31,314.87894
1983-11-30,327.7737
1983-12-31,340.43446
1984-01-31,356.95965
1984-02-29,330.61186
1984-03-31,357.67384
1984-04-30,361.6137
1984-05-31,341.40272
1984-06-30,364.86531
1984-07-31,426.05952
1984-08-31,448.10234
1984-09-30,474.28667
1984-10-31,546.38613
1984-11-30,531.06221
1984-12-31,580.30989
1985-01-31,609.18079
1985-02-28,630.18927
1985-03-31,602.6198
1985-04-30,618.32661
1985-05-31,664.17648
1985-06-30,666.1719
1985-07-31,762.37724
1985-08-31,984.89813
1985-09-30,901.81642
1985-10-31,958.72599
1985-11-30,1058.5611
1985-12-31,1053.74278
1986-01-31,950.55008
1986-02-28,900.16892
1986-03-31,1069.69268
1986-04-30,1051.3723
1986-05-31,1202.77111
1986-06-30,1311.10329
1986-07-31,1366.94142
1986-08-31,1480.34247
1986-09-30,1242.15207
1986-10-31,1255.47008
1986-11-30,1266.15583
1986-12-31,1272.10297
1987-01-31,1360.76934
1987-02-28,1395.10418
1987-03-31,1439.26771
1987-04-30,1511.11472
1987-05-31,1526.61843
1987-06-30,1544.16886
1987-07-31,1594.20509
1987-08-31,1662.25191
1987-09-30,1661.74955
1987-10-31,1338.90403
1987-11-30,1261.44654
1987-12-31,1304.29171
1988-01-31,1378.29014
1988-02-29,1527.92398
1988-03-31,1601.76025
1988-04-30,1644.04748
1988-05-31,1674.6789
1988-06-30,1739.0822
1988-07-31,1858.74125
1988-08-31,1759.72027
1988-09-30,1867.55852
1988-10-31,2001.31589
1988-11-30,1897.4725
1988-12-31,1985.35177
1989-01-31,2074.36427
1989-02-28,2128.51736
1989-03-31,2182.43846
1989-04-30,2230.91798
1989-05-31,2327.2604
1989-06-30,2333.96187
1989-07-31,2474.68112
1989-08-31,2519.90108
1989-09-30,2515.92765
1989-10-31,2389.28882
1989-11-30,2437.92144
1989-12-31,2479.23666
1990-01-31,2373.02008
1990-02-28,2265.75052
1990-03-31,2208.97702
1990-04-30,2183.41534
1990-05-31,2411.73438
1990-06-30,2387.10007
1990-07-31,2348.72422
1990-08-31,2114.19289
1990-09-30,1887.23486
1990-10-31,2042.20401
1990-11-30,1989.46477
1990-12-31,2065.38579
1991-01-31,2123.90137
1991-02-28,2341.6779
1991-03-31,2418.86698
1991-04-30,2465.56269
1991-05-31,2572.63417
1991-06-30,2469.47427
1991-07-31,2563.9107
1991-08-31,2563.80481
1991-09-30,2564.80664
1991-10-31,2633.50875
1991-11-30,2490.83826
1991-12-31,2617.01805
1992-01-31,2618.4043
1992-02-29,2613.70386
1992-03-31,2518.67109
1992-04-30,2550.82748
1992-05-31,2617.25847
1992-06-30,2469.50694
1992-07-31,2469.01999
1992-08-31,2510.59654
1992-09-30,2550.18932
1992-10-31,2606.20581
1992-11-30,2709.9297
1992-12-31,2760.34653
1993-01-31,2785.06248
1993-02-28,2919.30298
1993-03-31,3117.61956
1993-04-30,3243.29028
1993-05-31,3337.6429
1993-06-30,3475.26185
1993-07-31,3593.73244
1993-08-31,3750.91768
1993-09-30,3749.88644
1993-10-31,3755.85785
1993-11-30,3551.1702
1993-12-31,3763.36296
1994-01-31,4019.5435
1994-02-28,4033.57639
1994-03-31,3878.82264
1994-04-30,4043.27357
1994-05-31,4170.56913
1994-06-30,4183.84412
1994-07-31,4300.4048
1994-08-31,4318.57029
1994-09-30,4176.84616
1994-10-31,4215.18918
1994-11-30,4093.07888
1994-12-31,4114.89354
1995-01-31,4048.47265
1995-02-28,4179.9339
1995-03-31,4356.64901
1995-04-30,4557.22654
1995-05-31,4672.65199
1995-06-30,4616.85228
1995-07-31,4824.82363
1995-08-31,4761.88668
1995-09-30,4893.52194
1995-10-31,4810.54294
1995-11-30,5006.40662
1995-12-31,5118.44754
1996-01-31,5216.12514
1996-02-29,5570.55942
1996-03-31,5814.79761
1996-04-30,6474.11972
1996-05-31,6523.60797
1996-06-30,6495.14583
1996-07-31,6552.5722
1996-08-31,6582.09211
1996-09-30,6901.66845
1996-10-31,7203.87376
1996-11-30,7457.14849
1996-12-31,7452.63414
1997-01-31,7360.48604
1997-02-28,7304.36439
1997-03-31,7061.5262
1997-04-30,7338.34972
1997-05-31,7825.8648
1997-06-30,8338.00682
1997-07-31,8868.72095
1997-08-31,8415.76067
1997-09-30,8805.36364
1997-10-31,8624.40208
1997-11-30,8854.83095
1997-12-31,8976.02284
1998-01-31,9361.15585
1998-02-28,10012.09196
1998-03-31,10617.82997
1998-04-30,10762.57321
1998-05-31,10837.32416
1998-06-30,12811.45416
1998-07-31,13155.17793
1998-08-31,12003.73429
1998-09-30,11172.51838
1998-10-31,11540.63254
1998-11-30,12448.63304
1998-12-31,13490.6549
1999-01-31,14189.00779
1999-02-28,14117.42349
1999-03-31,14637.84164
1999-04-30,15004.73276
1999-05-31,14747.62303
1999-06-30,15020.31229
1999-07-31,15297.45756
1999-08-31,15074.07167
1999-09-30,14709.8613
1999-10-31,15842.51315
1999-11-30,16375.74933
1999-12-31,17634.72816
2000-01-31,17052.24967
2000-02-29,17155.76093
2000-03-31,18920.35883
2000-04-30,18791.74948
2000-05-31,18833.23003
2000-06-30,18927.59212
2000-07-31,18880.03033
2000-08-31,19539.44562
2000-09-30,19138.04007
2000-10-31,19682.36891
2000-11-30,18960.87767
2000-12-31,18843.67249
2001-01-31,19712.8771
2001-02-28,17801.71419
2001-03-31,17409.9771
2001-04-30,18704.98569
2001-05-31,18419.88149
2001-06-30,17913.60841
2001-07-31,18135.23334
2001-08-31,17626.96936
2001-09-30,17183.78291
2001-10-31,18326.49166
2001-11-30,21100.50892
2001-12-31,24798.1442
2002-01-31,22900.8198
2002-02-28,22580.28448
2002-03-31,23566.22257
2002-04-30,21291.31584
2002-05-31,19703.59672
2002-06-30,19565.96365
2002-07-31,17586.80632
2002-08-31,18204.32579
2002-09-30,16243.91226
2002-10-31,16509.14199
2002-11-30,16137.93324
2002-12-31,14218.37159
2003-01-31,13676.11732
2003-02-28,12766.16463
2003-03-31,12425.00968
2003-04-30,12532.58344
2003-05-31,14631.18352
2003-06-30,13784.41691
2003-07-31,13827.84278
2003-08-31,14096.10134
2003-09-30,13403.70791
2003-10-31,14105.11226
2003-11-30,13252.11438
2003-12-31,14768.91527
2004-01-31,15822.36935
2004-02-29,15083.71238
2004-03-31,14286.68585
2004-04-30,15455.65109
2004-05-31,14586.64554
2004-06-30,14229.43862
2004-07-31,13893.65651
2004-08-31,14761.83549
2004-09-30,14614.41285
2004-10-31,14186.75104
2004-11-30,14171.78181
2004-12-31,14333.0773
2005-01-31,14734.09479
2005-02-28,14817.94563
2005-03-31,15619.14201
2005-04-30,14873.33599
2005-05-31,16861.83267
2005-06-30,16781.5157
2005-07-31,17114.08644
2005-08-31,16719.36831
2005-09-30,17082.36723
2005-10-31,17600.70618
2005-11-30,17541.33214
2005-12-31,17563.3059
2006-01-31,17575.73571
2006-02-28,17816.67984
2006-03-31,18170.63114
2006-04-30,18329.01507
2006-05-31,19723.32086
2006-06-30,21056.33402
2006-07-31,20479.41835
2006-08-31,21874.2638
2006-09-30,23830.90866
2006-10-31,23512.51527
2006-11-30,23321.27449
2006-12-31,23251.72036
2007-01-31,24326.14165
2007-02-28,24286.63316
2007-03-31,24887.40961
2007-04-30,24984.64002
2007-05-31,26083.07842
2007-06-30,25640.69634
2007-07-31,25141.04736
2007-08-31,25413.37128
2007-09-30,25571.55655
2007-10-31,25044.13755
2007-11-30,25011.71768
2007-12-31,24894.02117
2008-01-31,25054.06155
2008-02-29,25841.51584
2008-03-31,26825.19349
2008-04-30,26271.83749
2008-05-31,26793.73651
2008-06-30,25371.85294
2008-07-31,23246.78214
2008-08-31,24034.03326
2008-09-30,22911.68735
2008-10-31,21737.90185
2008-11-30,21019.6388
2008-12-31,20247.27339
2009-01-31,20022.14554
2009-02-28,17774.32931
2009-03-31,18031.01063
2009-04-30,17871.03976
2009-05-31,18347.95407
2009-06-30,17717.30207
2009-07-31,19311.69956
2009-08-31,20110.98281
2009-09-30,20175.08012
2009-10-31,20725.76069
2009-11-30,20384.72066
2009-12-31,20634.73764
2010-01-31,20280.99035
2010-02-28,20850.66836
2010-03-31,20970.28731
2010-04-30,21330.64457
2010-05-31,19997.20302
2010-06-30,19296.19691
2010-07-31,19891.74071
2010-08-31,19371.29906
2010-09-30,20026.2839
2010-10-31,20753.73104
2010-11-30,20643.62381
2010-12-31,20583.67493
2011-01-31,22940.13932
2011-02-28,23017.68707
2011-03-31,22168.47939
2011-04-30,22460.58002
2011-05-31,22785.9399
2011-06-30,22242.54173
2011-07-31,21640.87573
2011-08-31,20955.14277
2011-09-30,22056.99638
2011-10-31,23852.91149
2011-11-30,24017.45499
2011-12-31,23836.1535
2012-01-31,24216.73081
2012-02-29,24232.77024
2012-03-31,25178.25252
2012-04-30,25349.76614
2012-05-31,25294.94465
2012-06-30,25597.51153
2012-07-31,26162.48215
2012-08-31,27255.61722
2012-09-30,27656.15139
2012-10-31,28685.28932
2012-11-30,29835.85648
2012-12-31,28985.26706
2013-01-31,32111.36387
2013-02-28,32415.95921
2013-03-31,34039.7341
2013-04-30,34180.07351
2013-05-31,38338.49772
2013-06-30,36821.43825
2013-07-31,38682.27885
2013-08-31,39197.19186
2013-09-30,40286.12043
2013-10-31,41802.63609
2013-11-30,43214.80394
2013-12-31,45564.94974
2014-01-31,46393.84239
2014-02-28,46941.83844
2014-03-31,46134.38111
2014-04-30,46644.77403
2014-05-31,47767.61893
2014-06-30,48873.22203
2014-07-31,48433.53861
2014-08-31,49252.88247
2014-09-30,50830.41024
2014-10-31,49958.70789
2014-11-30,51159.47767
2014-12-31,52497.41115
2015-01-31,52015.62745
2015-02-28,55206.28987
2015-03-31,56461.12327
2015-04-30,56702.1166
2015-05-31,58048.32582
2015-06-30,56678.97716
2015-07-31,60168.24
2015-08-31,58804.41955
2015-09-30,59201.51677
2015-10-31,63714.53708
2015-11-30,66456.27691
2015-12-31,69771.76957
2016-01-31,67383.069
2016-02-29,66492.68909
2016-03-31,65957.28122
2016-04-30,64990.23011
2016-05-31,71914.80492
2016-06-30,66613.22452
2016-07-31,65688.52091
2016-08-31,69592.13377
2016-09-30,65302.94634
2016-10-31,62967.03636
2016-11-30,66568.77944
2016-12-31,66524.03502
