"Index","JSAPY"
1992-12-31,"32.5045488"
1993-01-31,"32.5045488"
1993-02-28,"32.51104971"
1993-03-31,"31.88358645"
1993-04-30,"31.97923721"
1993-05-31,"30.70326565"
1993-06-30,"30.06770805"
1993-07-31,"31.58011376"
1993-08-31,"33.04227303"
1993-09-30,"32.76802216"
1993-10-31,"33.14485442"
1993-11-30,"32.60790778"
1993-12-31,"32.81007681"
1994-01-31,"37.57409996"
1994-02-28,"39.25366223"
1994-03-31,"39.23011003"
1994-04-30,"39.67341027"
1994-05-31,"35.57117965"
1994-06-30,"37.23946797"
1994-07-31,"38.79980168"
1994-08-31,"38.88904123"
1994-09-30,"40.39404712"
1994-10-31,"39.48922047"
1994-11-30,"37.86226458"
1994-12-31,"36.67338948"
1995-01-31,"37.5608855"
1995-02-28,"36.92235045"
1995-03-31,"35.72975853"
1995-04-30,"36.6801701"
1995-05-31,"36.50043727"
1995-06-30,"36.09893246"
1995-07-31,"35.60076719"
1995-08-31,"35.53668581"
1995-09-30,"36.09816545"
1995-10-31,"38.58171923"
1995-11-30,"40.55324508"
1995-12-31,"41.81039568"
1996-01-31,"41.39229172"
1996-02-29,"41.74826543"
1996-03-31,"40.80057981"
1996-04-30,"38.56878809"
1996-05-31,"38.02882506"
1996-06-30,"35.66343214"
1996-07-31,"38.25259731"
1996-08-31,"38.55479283"
1996-09-30,"36.93549153"
1996-10-31,"38.80073386"
1996-11-30,"38.91325598"
1996-12-31,"37.60577058"
1997-01-31,"37.308685"
1997-02-28,"38.27871081"
1997-03-31,"41.22999941"
1997-04-30,"41.5804544"
1997-05-31,"40.92764127"
1997-06-30,"39.71209032"
1997-07-31,"40.37528223"
1997-08-31,"42.41827151"
1997-09-30,"42.55825181"
1997-10-31,"42.60081006"
1997-11-30,"42.11942091"
1997-12-31,"41.30651608"
1998-01-31,"43.68164076"
1998-02-28,"45.68225991"
1998-03-31,"47.4044811"
1998-04-30,"48.85505823"
1998-05-31,"46.88131387"
1998-06-30,"45.02481384"
1998-07-31,"40.99959549"
1998-08-31,"38.40842105"
1998-09-30,"33.9799301"
1998-10-31,"36.01192992"
1998-11-30,"38.03580039"
1998-12-31,"40.33696631"
1999-01-31,"44.69335867"
1999-02-28,"43.80843017"
1999-03-31,"45.41181871"
1999-04-30,"51.51970833"
1999-05-31,"55.39914237"
1999-06-30,"56.83952007"
1999-07-31,"56.44732738"
