"Index","TBILLS"
1971-01-31,1
1971-02-28,1.003833333
1971-03-31,1.007823571
1971-04-30,1.012031234
1971-05-31,1.016678144
1971-06-30,1.021346391
1971-07-31,1.026027562
1971-08-31,1.030738739
1971-09-30,1.035445779
1971-10-31,1.040182944
1971-11-30,1.045002458
1971-12-31,1.04996622
1972-01-31,1.055137303
1972-02-29,1.060377819
1972-03-31,1.065617852
1972-04-30,1.070892661
1972-05-31,1.076024021
1972-06-30,1.081009599
1972-07-31,1.085982243
1972-08-31,1.090878213
1972-09-30,1.095087185
1972-10-31,1.099339774
1972-11-30,1.103837906
1972-12-31,1.108317648
1973-01-31,1.112483075
1973-02-28,1.116423119
1973-03-31,1.120358511
1973-04-30,1.124335783
1973-05-31,1.127793116
1973-06-30,1.130556209
1973-07-31,1.133062275
1973-08-31,1.135517244
1973-09-30,1.137854517
1973-10-31,1.140291422
1973-11-30,1.142800063
1973-12-31,1.14539041
1974-01-31,1.147986628
1974-02-28,1.151851516
1974-03-31,1.156362935
1974-04-30,1.160988386
1974-05-31,1.165583965
1974-06-30,1.170246301
1974-07-31,1.175795219
1974-08-31,1.181478229
1974-09-30,1.18752346
1974-10-31,1.193688686
1974-11-30,1.19976655
1974-12-31,1.205825372
1975-01-31,1.211864547
1975-02-28,1.217853178
1975-03-31,1.223851104
1975-04-30,1.229898969
1975-05-31,1.235833231
1975-06-30,1.241662245
1975-07-31,1.247425627
1975-08-31,1.25319497
1975-09-30,1.259492275
1975-10-31,1.266346012
1975-11-30,1.27351142
1975-12-31,1.280759823
1976-01-31,1.288124192
1976-02-29,1.295584577
1976-03-31,1.303228526
1976-04-30,1.311080478
1976-05-31,1.318990664
1976-06-30,1.326904608
1976-07-31,1.334987668
1976-08-31,1.343320217
1976-09-30,1.352007021
1976-10-31,1.360749999
1976-11-30,1.369515497
1976-12-31,1.378326047
1977-01-31,1.38721625
1977-02-28,1.396256276
1977-03-31,1.40541339
1977-04-30,1.414653983
1977-05-31,1.423919967
1977-06-30,1.433199178
1977-07-31,1.44257469
1977-08-31,1.452047597
1977-09-30,1.461582709
1977-10-31,1.471156076
1977-11-30,1.480865706
1977-12-31,1.49063942
1978-01-31,1.500452796
1978-02-28,1.510380792
1978-03-31,1.520387065
1978-04-30,1.530497639
1978-05-31,1.540675448
1978-06-30,1.55092094
1978-07-31,1.561247488
1978-08-31,1.571642794
1978-09-30,1.581989443
1978-10-31,1.592074626
1978-11-30,1.60213123
1978-12-31,1.611997688
1979-01-31,1.621884608
1979-02-28,1.631845682
1979-03-31,1.641242394
1979-04-30,1.649968332
1979-05-31,1.657695684
1979-06-30,1.66530727
1979-07-31,1.672787275
1979-08-31,1.679924501
1979-09-30,1.686336213
1979-10-31,1.692449181
1979-11-30,1.69802016
1979-12-31,1.703467975
1980-01-31,1.70924557
1980-02-29,1.715213686
1980-03-31,1.721302695
1980-04-30,1.727327254
1980-05-31,1.733531238
1980-06-30,1.740046426
1980-07-31,1.746731104
1980-08-31,1.753281346
1980-09-30,1.759739266
1980-10-31,1.766528926
1980-11-30,1.773550879
1980-12-31,1.781502299
1981-01-31,1.790291043
1981-02-28,1.800018291
1981-03-31,1.811238405
1981-04-30,1.822664301
1981-05-31,1.834435674
1981-06-30,1.847567176
1981-07-31,1.861901219
1981-08-31,1.878270433
1981-09-30,1.895926175
1981-10-31,1.91377948
1981-11-30,1.932215556
1981-12-31,1.951924155
1982-01-31,1.973850769
1982-02-28,1.997536979
1982-03-31,2.02307216
1982-04-30,2.049726135
1982-05-31,2.076594629
1982-06-30,2.104109507
1982-07-31,2.132374712
1982-08-31,2.161570476
1982-09-30,2.19076969
1982-10-31,2.220509389
1982-11-30,2.249579557
1982-12-31,2.277286879
1983-01-31,2.304557389
1983-02-28,2.329254563
1983-03-31,2.349402615
1983-04-30,2.369157175
1983-05-31,2.391269309
1983-06-30,2.413826949
1983-07-31,2.439272708
1983-08-31,2.467364999
1983-09-30,2.499050078
1983-10-31,2.530204902
1983-11-30,2.562169824
1983-12-31,2.595776951
1984-01-31,2.634172819
1984-02-29,2.673136625
1984-03-31,2.712676771
1984-04-30,2.752801782
1984-05-31,2.793520308
1984-06-30,2.834841129
1984-07-31,2.876773154
1984-08-31,2.921722735
1984-09-30,2.974678959
1984-10-31,3.028595016
1984-11-30,3.0834883
1984-12-31,3.136806952
1985-01-31,3.191047572
1985-02-28,3.248885309
1985-03-31,3.307771356
1985-04-30,3.367724712
1985-05-31,3.426491508
1985-06-30,3.482400428
1985-07-31,3.531705414
1985-08-31,3.579707176
1985-09-30,3.62892815
1985-10-31,3.67453168
1985-11-30,3.718013639
1985-12-31,3.758230153
1986-01-31,3.798756401
1986-02-28,3.83721881
1986-03-31,3.875590998
1986-04-30,3.914314611
