Date,JALSH,MSCIWORLD,SA10YR,GSCI,JSAPY,TBILLS,SACPI,USDZAR
25964,3.30284238,72.15445,100,86.09221,#N/A,1,1.6,0.7118
25992,3.32464458,72.95634,100.6450392,85.30732,#N/A,1.003833333,1.6,0.7122
26023,3.385892311,76.1363,96.27749173,86.17336,#N/A,1.007823571,1.6,0.712
26053,3.55619943,78.54815,96.95854085,86.62923,#N/A,1.012031234,1.6,0.7113
26084,3.641009569,76.73122,97.64440759,89.87348,#N/A,1.016678144,1.6,0.7117
26114,3.658092871,77.44519,98.33512603,88.8875,#N/A,1.021346391,1.6,0.7111
26145,3.726787021,76.25003,99.03073049,89.53516,#N/A,1.026027562,1.6,0.7115
26176,3.406630855,76.78631,99.73125552,87.83932,#N/A,1.030738739,1.7,0.7012
26206,3.172435501,77.13017,100.4367359,89.07239,#N/A,1.035445779,1.7,0.7111
26237,2.823219175,74.4127,101.1472068,93.45888,#N/A,1.040182944,1.7,0.7131
26267,3.151319325,75.08375,101.8627034,95.96575,#N/A,1.045002458,1.7,0.7135
26298,3.391372316,87.9841,102.5832612,106.88912,#N/A,1.04996622,1.7,0.767
26329,3.797178289,89.74213,103.3089162,109.24283,#N/A,1.055137303,1.7,0.7547
26358,3.855854308,92.66649,104.0397043,108.33468,#N/A,1.060377819,1.7,0.7505
26389,4.216348813,93.48965,104.7756619,109.15383,#N/A,1.065617852,1.7,0.7468
26419,4.444605367,95.19942,105.5168255,112.98026,#N/A,1.070892661,1.7,0.7505
26450,4.832306781,96.59511,106.263232,114.97498,#N/A,1.076024021,1.7,0.7463
26480,4.908273884,98.7782,107.0149184,123.55478,#N/A,1.081009599,1.7,0.7813
26511,5.314314626,102.62777,107.7719221,125.27398,#N/A,1.085982243,1.8,0.7994
26542,5.523471599,105.6224,110.3447113,132.85601,#N/A,1.090878213,1.8,0.8
26572,5.480589826,104.0152,112.0717785,142.912,#N/A,1.095087185,1.8,0.8
26603,5.476471074,102.73836,112.8291555,138.58167,#N/A,1.099339774,1.8,0.7837
26633,5.476301157,108.29659,113.591651,144.25677,#N/A,1.103837906,1.8,0.7849
26664,5.762525751,110.11221,114.2825667,155.55662,#N/A,1.108317648,1.8,0.7837
26695,5.718880549,110.36534,115.1330674,160.8701,#N/A,1.112483075,1.8,0.7837
26723,5.874595746,101.28703,115.9111327,152.98163,#N/A,1.116423119,1.8,0.7143
26754,6.05305748,100.32087,119.6407405,147.70796,#N/A,1.120358511,1.8,0.7065
26784,5.97868342,94.61863,120.4124702,155.55987,#N/A,1.124335783,1.9,0.7017
26815,6.317544819,94.98186,121.1891777,185.18778,#N/A,1.127793116,1.9,0.7065
26845,6.892003534,90.85741,121.9708954,173.05788,#N/A,1.130556209,1.9,0.6716
26876,6.471117445,93.12027,122.7576555,217.8857,#N/A,1.133062275,1.9,0.6723
26907,6.323418432,89.38914,123.5494904,223.6092,#N/A,1.135517244,1.9,0.6734
26937,5.919144846,91.97567,124.346433,212.3769,#N/A,1.137854517,1.9,0.6734
26968,6.144677266,92.75186,125.1485162,200.72189,#N/A,1.140291422,2,0.6723
26998,5.1258688,80.72508,125.9557731,211.22994,#N/A,1.142800063,2,0.6723
27029,6.062797604,80.19251,124.6288633,233.85161,#N/A,1.14539041,2,0.6734
27060,7.019160218,80.67533,123.3650653,259.52124,#N/A,1.147986628,2,0.6723
27088,7.344224306,81.93051,124.2120925,258.14303,#N/A,1.151851516,2,0.6723
27119,8.606256265,79.71326,125.0649354,228.02636,#N/A,1.156362935,2.1,0.6711
27149,7.947627378,78.38515,125.9236341,230.5497,#N/A,1.160988386,2.1,0.6711
27180,7.098517768,75.3859,126.7882285,215.40174,#N/A,1.165583965,2.1,0.6725
27210,6.624108895,72.52743,125.5521309,240.52676,#N/A,1.170246301,2.2,0.668
27241,7.40653976,68.21176,120.3825692,297.75867,#N/A,1.175795219,2.2,0.6678
27272,7.281312239,64.08409,117.5190558,294.43255,#N/A,1.181478229,2.2,0.6944
27302,6.343361052,58.61784,118.4724351,332.95465,#N/A,1.18752346,2.2,0.7005
27333,7.18259123,64.22814,119.4335487,362.92206,#N/A,1.193688686,2.2,0.7005
27363,6.960961454,62.35856,120.4024594,364.91264,#N/A,1.19976655,2.2,0.6909
27394,6.37024903,61.42054,123.2949572,335.26707,#N/A,1.205825372,2.2,0.692
27425,6.54750543,69.4211,124.2695834,279.00592,#N/A,1.211864547,2.3,0.6826
27453,6.822424807,74.43432,125.2519137,246.25605,#N/A,1.217853178,2.3,0.6725
27484,6.650783129,74.97972,126.2420092,267.0632,#N/A,1.223851104,2.3,0.6725
27514,6.312541635,79.15355,127.2399313,258.22795,#N/A,1.229898969,2.4,0.6817
27545,6.662091528,80.79967,128.2457417,253.64017,#N/A,1.235833231,2.4,0.6798
27575,7.402451857,86.15082,129.2595029,271.47431,#N/A,1.241662245,2.4,0.7158
27606,7.173157246,81.34527,130.2812778,292.56998,#N/A,1.247425627,2.5,0.7154
27637,6.05970138,80.13023,127.2527189,320.85019,#N/A,1.25319497,2.5,0.7158
27667,5.813699712,93.42635,128.3114937,394.91319,#N/A,1.259492275,2.5,0.8711
27698,6.012078842,99.94228,129.3790777,363.45341,#N/A,1.266346012,2.5,0.8718
27728,5.999413676,102.72248,130.4555444,359.18941,#N/A,1.27351142,2.6,0.8722
27759,6.096852435,102.68091,131.5409676,349.35464,#N/A,1.280759823,2.6,0.8711
27790,6.277827402,111.85621,131.252203,332.63823,#N/A,1.288124192,2.6,0.8711
27819,6.09362011,110.97768,133.5883505,351.5016,#N/A,1.295584577,2.6,0.8707
27850,5.784217337,112.33793,135.5371752,352.38608,#N/A,1.303228526,2.6,0.8711
27880,6.200642065,111.46788,136.0645202,365.78108,#N/A,1.311080478,2.6,0.8707
27911,6.478140928,109.61068,137.0260101,372.3984,#N/A,1.318990664,2.6,0.8707
27941,5.907863643,112.54257,137.911562,364.75169,#N/A,1.326904608,2.7,0.8673
27972,5.830689238,111.92674,139.2353026,333.76542,#N/A,1.334987668,2.7,0.8707
28003,4.978753174,111.7751,136.3190865,324.67731,#N/A,1.343320217,2.8,0.8715
28033,5.496397124,112.61023,131.542691,292.32012,#N/A,1.352007021,2.8,0.8707
28064,5.327653445,108.67033,132.8504916,288.71541,#N/A,1.360749999,2.8,0.8707
28094,5.628775903,108.24368,135.1191236,292.83383,#N/A,1.369515497,2.8,0.8707
28125,5.935948547,116.23683,137.1740686,307.16882,#N/A,1.378326047,2.8,0.8696
28156,5.705019331,112.33492,137.0458955,306.35139,#N/A,1.38721625,2.9,0.8696
28184,6.234489574,111.84187,138.8083691,305.59484,#N/A,1.396256276,2.9,0.8696
28215,5.920293362,111.14271,140.3392408,316.71701,#N/A,1.40541339,2.9,0.8696
28245,5.853180689,112.60302,140.1397353,334.0111,#N/A,1.414653983,3,0.8715
28276,5.8170005,110.83139,143.2069978,321.83897,#N/A,1.423919967,3,0.8696
28306,5.853887409,114.89792,144.0973985,313.75844,#N/A,1.433199178,3,0.8688
28337,6.350872213,113.60545,146.0298697,287.67059,#N/A,1.44257469,3,0.8707
28368,6.607859198,113.88107,146.6750325,290.12465,#N/A,1.452047597,3,0.8696
28398,6.939254228,115.29939,149.8785279,300.70767,#N/A,1.461582709,3,0.8696
28429,6.984015031,113.13427,151.2376053,308.82657,#N/A,1.471156076,3,0.8681
28459,7.174925724,114.74981,154.438821,322.50855,#N/A,1.480865706,3,0.8696
28490,7.769097331,117.02642,155.9070617,339.02224,#N/A,1.49063942,3.1,0.8696
28521,7.84082135,113.53143,155.5150059,349.79215,#N/A,1.500452796,3.1,0.8692
28549,7.320703797,112.65875,157.6721054,355.30287,#N/A,1.510380792,3.1,0.8692
28580,7.377629959,117.75488,159.5646803,391.98313,#N/A,1.520387065,3.1,0.8692
28610,7.608657648,123.0971,161.7649036,400.58994,#N/A,1.530497639,3.2,0.8696
28641,8.047550504,124.64063,164.0860229,431.13899,#N/A,1.540675448,3.2,0.8696
28671,8.630101383,126.14963,165.6301231,391.73053,#N/A,1.55092094,3.2,0.8715
28702,9.497530361,134.9454,167.0866345,401.5291,#N/A,1.561247488,3.4,0.8696
28733,9.525019297,138.0377,170.9161,412.48606,#N/A,1.571642794,3.4,0.8696
28763,9.930508734,139.62385,173.8646712,435.68698,#N/A,1.581989443,3.4,0.8696
28794,10.55444978,136.90288,178.7138447,440.06107,#N/A,1.592074626,3.4,0.8696
28824,9.685746063,131.87435,181.4207305,450.82988,#N/A,1.60213123,3.4,0.8684
28855,10.62083369,136.35762,183.5833345,446.17438,#N/A,1.611997688,3.4,0.8696
28886,11.59716143,140.14679,189.538603,479.40346,#N/A,1.621884608,3.5,0.8715
28914,12.1460583,133.6677,194.3295389,493.49076,#N/A,1.631845682,3.5,0.8475
28945,11.99670934,138.96372,195.2931571,483.69813,#N/A,1.641242394,3.6,0.8457
28975,11.92143265,139.39132,196.9000791,515.00202,#N/A,1.649968332,3.6,0.8496
29006,12.84120941,135.98485,195.2379839,487.21402,#N/A,1.657695684,3.6,0.8435
29036,12.50465423,140.56719,196.7569736,496.07567,#N/A,1.66530727,3.7,0.8475
29067,12.78359335,140.24199,196.5338922,470.77174,#N/A,1.672787275,3.8,0.8393
29098,14.20738156,145.30331,200.1018,522.98892,#N/A,1.679924501,3.8,0.8361
29128,16.11680514,147.45248,203.7220738,541.41847,#N/A,1.686336213,3.9,0.8299
29159,16.75055388,136.40298,205.5398475,524.02832,#N/A,1.692449181,3.9,0.8295
29189,17.91615939,141.00237,204.6022375,562.04098,#N/A,1.69802016,3.9,0.832
29220,20.50819367,143.89886,206.4548377,567.85377,#N/A,1.703467975,4,0.8271
