"Index","JASPY"
1992-12-31,"1"
1993-01-31,"1.0002"
1993-02-28,"0.98089614"
1993-03-31,"0.983838828"
1993-04-30,"0.944583659"
1993-05-31,"0.925030777"
1993-06-30,"0.971559826"
1993-07-31,"1.016543045"
1993-08-31,"1.008105738"
1993-09-30,"1.019698954"
1993-10-31,"1.003179831"
1993-11-30,"1.009399546"
1993-12-31,"1.15596436"
1994-01-31,"1.207635967"
1994-02-28,"1.206911385"
1994-03-31,"1.220549484"
1994-04-30,"1.094344667"
1994-05-31,"1.145669432"
1994-06-30,"1.193672982"
1994-07-31,"1.196418429"
1994-08-31,"1.242719823"
1994-09-30,"1.214882899"
1994-10-31,"1.164829723"
1994-11-30,"1.12825407"
1994-12-31,"1.155557818"
1995-01-31,"1.135913335"
1995-02-28,"1.099223335"
1995-03-31,"1.128462675"
1995-04-30,"1.122933208"
1995-05-31,"1.110580943"
1995-06-30,"1.095254926"
1995-07-31,"1.093283467"
1995-08-31,"1.110557346"
1995-09-30,"1.186963691"
1995-10-31,"1.247617536"
1995-11-30,"1.28629368"
1995-12-31,"1.273430743"
1996-01-31,"1.284382247"
1996-02-29,"1.25522677"
1996-03-31,"1.186565866"
1996-04-30,"1.169953944"
1996-05-31,"1.097182808"
1996-06-30,"1.17683828"
1996-07-31,"1.186135303"
1996-08-31,"1.13631762"
1996-09-30,"1.19370166"
1996-10-31,"1.197163395"
1996-11-30,"1.156938705"
1996-12-31,"1.147798889"
1997-01-31,"1.17764166"
1997-02-28,"1.268437832"
1997-03-31,"1.279219553"
1997-04-30,"1.259135806"
1997-05-31,"1.221739473"
1997-06-30,"1.242142522"
1997-07-31,"1.304994934"
1997-08-31,"1.309301417"
1997-09-30,"1.310610719"
1997-10-31,"1.295800817"
1997-11-30,"1.270791862"
1997-12-31,"1.343862394"
1998-01-31,"1.405411291"
1998-02-28,"1.458395297"
1998-03-31,"1.503022193"
1998-04-30,"1.442300096"
1998-05-31,"1.385185013"
1998-06-30,"1.261349473"
1998-07-31,"1.181632186"
1998-08-31,"1.045389995"
1998-09-30,"1.107904317"
1998-10-31,"1.170168539"
1998-11-30,"1.240963736"
1998-12-31,"1.374987819"
1999-01-31,"1.34776306"
1999-02-28,"1.397091188"
1999-03-31,"1.584999953"
1999-04-30,"1.70435045"
1999-05-31,"1.748663561"
1999-06-30,"1.736597783"
1999-07-31,"1.937695806"
1999-08-31,"1.837904472"
1999-09-30,"1.917669526"
1999-10-31,"2.005307024"
1999-11-30,"2.020146295"
1999-12-31,"2.181757999"
2000-01-31,"2.229538499"
2000-02-29,"2.222403976"
2000-03-31,"2.231515832"
2000-04-30,"2.189563335"
2000-05-31,"2.169200396"
2000-06-30,"2.232757967"
2000-07-31,"2.306885532"
2000-08-31,"2.415078463"
2000-09-30,"2.486323278"
2000-10-31,"2.621330632"
2000-11-30,"2.660650591"
2000-12-31,"2.750580581"
2001-01-31,"2.851801947"
2001-02-28,"2.893723435"
2001-03-31,"2.881280425"
2001-04-30,"2.93055032"
2001-05-31,"3.096126413"
2001-06-30,"3.237000165"
2001-07-31,"3.374572672"
2001-08-31,"3.394820108"
2001-09-30,"3.360532425"
2001-10-31,"3.35381136"
2001-11-30,"3.388020236"
2001-12-31,"3.145099185"
2002-01-31,"3.114277213"
2002-02-28,"2.985968992"
2002-03-31,"3.038820643"
2002-04-30,"3.197750962"
2002-05-31,"3.342609081"
2002-06-30,"3.286787509"
2002-07-31,"3.391636031"
2002-08-31,"3.427587373"
2002-09-30,"3.410106677"
2002-10-31,"3.497405408"
2002-11-30,"3.733130533"
2002-12-31,"3.838404814"
2003-01-31,"3.93897102"
2003-02-28,"4.159947294"
2003-03-31,"4.362536727"
2003-04-30,"4.278339768"
2003-05-31,"4.40326729"
2003-06-30,"4.673627901"
2003-07-31,"4.66007438"
2003-08-31,"4.561746811"
2003-09-30,"4.585924069"
2003-10-31,"5.176591089"
2003-11-30,"5.149155156"
2003-12-31,"5.411762069"
2004-01-31,"5.167150424"
2004-02-29,"5.260675846"
2004-03-31,"5.353789809"
2004-04-30,"5.519757293"
2004-05-31,"5.497678264"
2004-06-30,"5.557053189"
2004-07-31,"5.703203688"
2004-08-31,"6.000910921"
2004-09-30,"6.205541983"
2004-10-31,"6.374953279"
2004-11-30,"7.230472009"
2004-12-31,"7.644055008"
2005-01-31,"7.587489001"
2005-02-28,"8.087504526"
2005-03-31,"8.051919506"
2005-04-30,"8.28461998"
2005-05-31,"8.709620985"
2005-06-30,"8.993554629"
2005-07-31,"9.356894236"
2005-08-31,"9.949185641"
2005-09-30,"10.29840206"
2005-10-31,"10.52805642"
2005-11-30,"10.3564491"
2005-12-31,"11.46769609"
2006-01-31,"12.20965603"
2006-02-28,"13.02892395"
2006-03-31,"13.97612672"
2006-04-30,"13.86571532"
2006-05-31,"13.15301755"
2006-06-30,"11.32080221"
2006-07-31,"11.13966937"
2006-08-31,"12.55440738"
2006-09-30,"12.36609127"
2006-10-31,"13.59157092"
2006-11-30,"14.30512839"
2006-12-31,"14.72140762"
2007-01-31,"15.96978299"
2007-02-28,"16.50796468"
2007-03-31,"17.03621955"
2007-04-30,"18.36334105"
2007-05-31,"17.69124277"
2007-06-30,"17.09150964"
2007-07-31,"17.32908162"
2007-08-31,"17.4313232"
2007-09-30,"18.70903919"
2007-10-31,"19.56591319"
2007-11-30,"18.96132647"
2007-12-31,"18.62571099"
2008-01-31,"16.54149393"
2008-02-29,"17.27924456"
2008-03-31,"16.58807478"
2008-04-30,"15.54468488"
2008-05-31,"14.6011225"
2008-06-30,"13.32936473"
2008-07-31,"15.75397618"
2008-08-31,"16.95915536"
2008-09-30,"16.40459098"
2008-10-31,"15.32516889"
2008-11-30,"16.96496196"
2008-12-31,"17.79285211"
2009-01-31,"17.59001359"
2009-02-28,"17.10101121"
2009-03-31,"17.54563751"
2009-04-30,"18.25623582"
2009-05-31,"17.7122"
2009-06-30,"17.39160918"
2009-07-31,"18.75511134"
2009-08-31,"19.11333396"
2009-09-30,"19.50515731"
2009-10-31,"19.90501303"
2009-11-30,"19.98065208"
2009-12-31,"20.29434832"
2010-01-31,"20.24361245"
2010-02-28,"21.40762017"
2010-03-31,"22.2960364"
