"Index","JASPY"
2010-04-30,"22.70851308"
2010-05-31,"22.20438409"
2010-06-30,"22.43975056"
2010-07-31,"23.9387259"
2010-08-31,"24.63773669"
2010-09-30,"25.5074488"
2010-10-31,"25.85945159"
2010-11-30,"25.73274028"
2010-12-31,"26.30658039"
2011-01-31,"25.20433467"
2011-02-28,"24.90188265"
2011-03-31,"25.73609572"
2011-04-30,"26.69090487"
2011-05-31,"26.71759578"
2011-06-30,"27.03019165"
2011-07-31,"27.46267471"
2011-08-31,"28.22064454"
2011-09-30,"27.62518894"
2011-10-31,"28.32963125"
2011-11-30,"28.06333272"
2011-12-31,"28.65266271"
2012-01-31,"30.01366419"
2012-02-29,"30.31680219"
2012-03-31,"30.95345504"
2012-04-30,"31.76134022"
2012-05-31,"31.93602759"
2012-06-30,"32.47255285"
2012-07-31,"35.2651924"
2012-08-31,"37.25767577"
2012-09-30,"36.03934977"
2012-10-31,"34.5689443"
2012-11-30,"36.89889114"
2012-12-31,"37.03172715"
2013-01-31,"37.39834125"
2013-02-28,"39.13362429"
2013-03-31,"40.41720716"
2013-04-30,"43.39595533"
2013-05-31,"38.58334388"
2013-06-30,"40.27329435"
2013-07-31,"38.58584331"
2013-08-31,"37.24691455"
2013-09-30,"39.74618252"
2013-10-31,"40.95446646"
2013-11-30,"39.74221426"
2013-12-31,"40.1396364"
2014-01-31,"37.27768032"
2014-02-28,"39.01482023"
2014-03-31,"40.87192567"
2014-04-30,"41.82015435"
2014-05-31,"41.2932204"
2014-06-30,"42.68480193"
2014-07-31,"43.50008165"
2014-08-31,"44.78768406"
2014-09-30,"45.76405557"
2014-10-31,"48.89431698"
2014-11-30,"50.27802615"
2014-12-31,"50.83611224"
2015-01-31,"54.58781732"
2015-02-28,"56.31279235"
2015-03-31,"57.79945006"
2015-04-30,"57.82256984"
2015-05-31,"54.39369145"
2015-06-30,"54.19787416"
2015-07-31,"56.9836449"
2015-08-31,"57.10900891"
2015-09-30,"57.57730279"
2015-10-31,"58.77491069"
2015-11-30,"58.48103613"
2015-12-31,"54.90199672"
2016-01-31,"53.26591722"
2016-02-29,"55.2101232"
2016-03-31,"60.44404288"
2016-04-30,"61.62270171"
2016-05-31,"59.48439396"
2016-06-30,"60.18036137"
2016-07-31,"62.14224115"
2016-08-31,"59.10348556"
2016-09-30,"59.74771355"
2016-10-31,"60.04645212"
2016-11-30,"58.04090062"
2016-12-31,"60.50183481"
