"Index","US10YR.Close"
1971-12-31,100
1972-01-31,99.0095498725299
1972-02-29,99.8795234248913
1972-03-31,99.7912689257453
1972-04-30,100.152725589257
1972-05-31,101.334002733426
1972-06-30,101.096446044466
1972-07-31,101.838883541193
1972-08-31,100.129541045383
1972-09-30,99.7935072485823
1972-10-31,101.28419734802
1972-11-30,102.791930548562
1972-12-31,102.354611220423
1973-01-31,101.935998963861
1973-02-28,101.755372380876
1973-03-31,101.659738009011
1973-04-30,102.449533300239
1973-05-31,101.342082890064
1973-06-30,101.855135440679
1973-07-31,98.9662177629047
1973-08-31,100.830445297402
1973-09-30,103.95836175441
1973-10-31,105.978069331761
1973-11-30,106.723388957611
1973-12-31,105.718809322506
1974-01-31,105.575574631875
1974-02-28,106.11645604933
1974-03-31,103.775750434596
1974-04-30,102.627119168028
1974-05-31,104.279436180178
1974-06-30,104.069047143825
1974-07-31,102.955381301317
1974-08-31,102.100935545602
1974-09-30,103.973343245656
1974-10-31,105.73080338895
1974-11-30,107.51204370137
1974-12-31,109.997067500626
1975-01-31,109.683344572395
1975-02-28,110.905929613429
1975-03-31,107.453034708672
1975-04-30,106.009938824267
1975-05-31,108.68523107469
1975-06-30,110.00519140967
1975-07-31,108.956979276282
1975-08-31,109.554900241388
1975-09-30,108.410618099778
1975-10-31,113.391754219339
1975-11-30,112.378254500082
1975-12-31,116.072892990705
1976-01-31,116.50524908343
1976-02-29,117.502428577609
1976-03-31,119.154758884178
1976-04-30,119.833214748509
1976-05-31,118.233952857313
1976-06-30,119.826515128359
1976-07-31,120.61137880245
1976-08-31,123.065183300978
1976-09-30,124.789053226073
1976-10-31,126.70518418441
1976-11-30,131.177890790585
1976-12-31,133.824312079988
1977-01-31,129.074176804329
1977-02-28,129.420801284197
1977-03-31,130.494976156794
1977-04-30,131.029302674949
1977-05-31,132.483378076735
1977-06-30,134.977223228728
1977-07-31,133.716821908197
1977-08-31,135.857004936213
1977-09-30,135.449340073918
1977-10-31,134.32032600706
1977-11-30,135.824971573479
1977-12-31,134.536303909737
1978-01-31,133.942202250055
1978-02-28,133.920065080404
1978-03-31,133.823110561194
1978-04-30,133.922347839814
1978-05-31,133.234226821343
1978-06-30,132.407398047615
1978-07-31,133.885130420831
1978-08-31,136.36015852256
1978-09-30,135.776951058191
1978-10-31,133.207604266569
1978-11-30,135.073730395493
1978-12-31,133.540229306012
1979-01-31,136.299031880358
1979-02-28,135.379937290729
1979-03-31,136.940173024333
1979-04-30,135.874602057114
1979-05-31,139.489013961434
1979-06-30,142.828633949558
1979-07-31,142.020445232593
1979-08-31,140.9845486701
1979-09-30,140.270972957746
1979-10-31,130.522102513241
1979-11-30,134.408875966512
1979-12-31,135.984409140342
1980-01-31,130.690619767345
1980-02-29,120.327811646165
1980-03-31,122.141213463582
1980-04-30,137.283865243326
1980-05-31,142.8309906821
1980-06-30,145.469355313345
1980-07-31,140.811293560922
1980-08-31,135.577041536063
1980-09-30,134.45821981959
1980-10-31,131.246228789979
1980-11-30,130.708194031549
1980-12-31,134.229825025922
1981-01-31,133.747982590984
1981-02-28,129.728720109573
1981-03-31,133.313416660444
1981-04-30,127.882046746138
1981-05-31,133.598792454005
1981-06-30,132.540559467745
1981-07-31,128.53043051915
1981-08-31,125.32881730719
1981-09-30,124.277156801048
1981-10-31,133.690716713799
1981-11-30,146.310396855676
1981-12-31,141.319424351058
1982-01-31,141.774721326523
1982-02-28,144.270313937288
1982-03-31,144.81888993267
1982-04-30,148.919954729873
1982-05-31,151.917535393845
1982-06-30,147.878653148057
1982-07-31,155.685295532848
1982-08-31,164.977806607625
1982-09-30,177.068718937351
1982-10-31,189.720723624843
1982-11-30,190.49927282748
1982-12-31,197.238575943419
1983-01-31,193.713331672561
1983-02-28,201.780518146214
1983-03-31,199.220882889072
1983-04-30,205.278791707055
1983-05-31,200.360596110406
1983-06-30,200.367008835364
1983-07-31,192.915358626662
1983-08-31,192.37030114719
1983-09-30,200.385196313877
1983-10-31,198.811751561826
1983-11-30,202.029859610899
1983-12-31,201.770605199983
1984-01-31,205.517002189622
1984-02-29,203.162404056287
1984-03-31,199.613256212391
1984-04-30,198.485871071873
1984-05-31,189.107574749929
1984-06-30,192.005130930252
1984-07-31,204.091111022003
1984-08-31,207.647201213747
1984-09-30,213.598927988962
1984-10-31,224.218716733012
1984-11-30,229.16827132703
1984-12-31,231.781272067215
1985-01-31,239.237237131996
1985-02-28,231.275474765531
1985-03-31,237.068434313384
1985-04-30,242.712073530474
1985-05-31,261.90588027329
1985-06-30,264.633905961412
1985-07-31,261.743651298497
1985-08-31,268.722562219983
1985-09-30,270.528901468183
1985-10-31,277.907331607399
1985-11-30,287.625450317921
1985-12-31,300.95937076193
1986-01-31,301.656296725872
1986-02-28,323.296942225493
1986-03-31,342.188960574725
1986-04-30,344.53526863727
1986-05-31,331.005743021566
1986-06-30,349.430900978149
1986-07-31,351.815656131476
1986-08-31,363.738129370752
1986-09-30,353.182329879811
1986-10-31,358.093276168453
1986-11-30,365.084967894162
1986-12-31,365.206585368488
1987-01-31,368.693827164042
1987-02-28,370.64013025087
1987-03-31,364.625290152737
1987-04-30,349.72658716937
1987-05-31,345.608424846147
1987-06-30,350.59355051867
1987-07-31,346.563175048513
1987-08-31,341.401772934025
1987-09-30,330.349695524712
1987-10-31,349.196495961381
1987-11-30,349.281608684513
1987-12-31,355.559354441849
1988-01-31,371.787787081121
1988-02-29,376.855040082651
1988-03-31,369.180234857346
1988-04-30,364.573870851937
1988-05-31,359.51245076354
1988-06-30,371.22227102712
1988-07-31,366.746216631355
